date,ticker,issuer,coupon_bp,maturity,price,spread_bp
2026-08-21,CRWV,CoreWeave,500,2031-06-20,90.4256,802.6
2026-08-21,ORCL,Oracle,100,2031-06-20,95.1325,223.6
2026-08-21,TSLA,Tesla,100,2031-06-20,98.6661,132.7
2026-08-21,AVGO,Broadcom,100,2031-06-20,99.0738,122.6
2026-08-21,META,Meta Platforms,100,2031-06-20,100.2391,94.2
2026-08-21,AMD,Advanced Micro Devices,100,2031-06-20,100.2597,93.7
2026-08-21,NVDA,Nvidia,100,2031-06-20,100.603,85.5
2026-08-21,INTC,Intel,100,2031-06-20,101.1131,73.4
2026-08-21,DELL,Dell,100,2031-06-20,101.5191,63.8
2026-08-21,AMZN,Amazon,100,2031-06-20,101.5904,62.1
2026-08-21,GOOGL,Alphabet,100,2031-06-20,101.8337,56.4
2026-08-21,MSFT,Microsoft,100,2031-06-20,102.2679,46.3
2026-08-24,CRWV,CoreWeave,500,2031-06-20,90.0135,817.3
2026-08-24,ORCL,Oracle,100,2031-06-20,95.0309,226.3
2026-08-24,TSLA,Tesla,100,2031-06-20,98.6875,132.2
2026-08-24,AVGO,Broadcom,100,2031-06-20,98.8873,127.2
2026-08-24,AMD,Advanced Micro Devices,100,2031-06-20,99.989,100.3
2026-08-24,META,Meta Platforms,100,2031-06-20,100.1232,97.0
2026-08-24,NVDA,Nvidia,100,2031-06-20,100.5487,86.8
2026-08-24,INTC,Intel,100,2031-06-20,101.0643,74.5
2026-08-24,AMZN,Amazon,100,2031-06-20,101.4668,65.0
2026-08-24,DELL,Dell,100,2031-06-20,101.5111,64.0
2026-08-24,GOOGL,Alphabet,100,2031-06-20,101.7418,58.6
2026-08-24,MSFT,Microsoft,100,2031-06-20,102.2015,47.9
