date,value
2018-02-01,38.57624
2018-02-02,39.92783
2018-02-05,42.751177
2018-02-06,53.151224
2018-02-07,53.151224
2018-02-08,52.137167
2018-02-09,51.888545
2018-02-12,52.643488
2018-02-13,52.894831
2018-02-14,54.621858
2018-02-15,59.195661
2018-02-16,58.587586
2018-02-20,60.563407
2018-02-21,60.481228
2018-02-22,60.825635
2018-02-23,62.077456
2018-02-26,63.888472
2018-02-27,64.533957
2018-02-28,64.533957
2018-03-01,65.573743
2018-03-02,69.572908
2018-03-05,68.598604
2018-03-06,65.674797
2018-03-07,59.947082
2018-03-08,59.730976
2018-03-09,58.474286
2018-03-12,60.035516
2018-03-13,60.634539
2018-03-14,60.700126
2018-03-15,60.700126
2018-03-16,52.894831
2018-03-19,54.231958
2018-03-20,53.250945
2018-03-21,55.105354
2018-03-22,50.430254
2018-03-23,54.134044
2018-03-26,52.548925
2018-03-27,53.393968
2018-03-28,56.513436
2018-03-29,55.828685
2018-04-02,52.844658
2018-04-03,48.935296
2018-04-04,53.641794
2018-04-05,53.641794
2018-04-06,55.733577
2018-04-09,58.604562
2018-04-10,56.513436
2018-04-11,56.484092
2018-04-12,55.680007
2018-04-13,56.630659
2018-04-16,56.654075
2018-04-17,55.685962
2018-04-18,55.775207
2018-04-19,56.864382
2018-04-20,59.680994
2018-04-23,56.484092
2018-04-24,56.325371
2018-04-25,55.917703
2018-04-26,48.280431
2018-04-27,50.007684
2018-04-30,51.219651
2018-05-01,51.219651
2018-05-02,48.011841
2018-05-03,48.011841
2018-05-04,48.444977
2018-05-07,41.810097
2018-05-08,41.928887
2018-05-09,41.928887
2018-05-10,41.992105
2018-05-11,42.81318
2018-05-14,42.431989
2018-05-15,43.175651
2018-05-16,49.427459
2018-05-17,47.456129
2018-05-18,45.333501
2018-05-21,48.451821
2018-05-22,48.149766
2018-05-23,47.790332
2018-05-24,50.173174
2018-05-25,50.173174
2018-05-29,51.316664
2018-05-30,76.201119
2018-05-31,80.66128
2018-06-01,80.6325
2018-06-04,83.505121
2018-06-05,85.482962
2018-06-06,85.761788
2018-06-07,87.404685
2018-06-08,87.749224
2018-06-11,87.191984
2018-06-12,87.930415
2018-06-13,87.191984
2018-06-14,82.164149
2018-06-15,82.867364
2018-06-18,82.228693
2018-06-19,80.796821
2018-06-20,81.153072
2018-06-21,82.93136
2018-06-22,81.836615
2018-06-25,81.336727
2018-06-26,80.137513
2018-06-27,54.621858
2018-06-28,52.390939
2018-06-29,52.390939
2018-07-02,47.651365
2018-07-03,44.387409
2018-07-05,45.91491
2018-07-06,41.61136
2018-07-09,40.052203
2018-07-10,43.175651
2018-07-11,41.675059
2018-07-12,41.992105
2018-07-13,40.968923
2018-07-16,39.384341
2018-07-17,40.357351
