date,rent,groceries,energy,medical,apparel,usedcars,headline,wage
2019-01-31,325.314,241.581,204.34,489.968,124.466,142.214,252.561,905.0
2019-02-28,326.22,242.111,208.144,490.16,124.526,142.272,253.319,905.0
2019-03-31,327.539,242.482,214.934,491.412,123.666,141.218,254.277,905.0
2019-04-30,328.816,241.219,222.42,492.97,123.901,139.895,255.233,908.0
2019-05-31,329.617,241.642,220.523,494.859,123.764,138.573,255.296,908.0
2019-06-30,330.919,241.214,214.926,495.745,124.75,138.241,255.213,908.0
2019-07-31,331.935,240.988,216.696,497.714,124.731,138.132,255.802,919.0
2019-08-31,332.781,240.943,213.847,500.662,124.532,138.686,256.036,919.0
2019-09-30,333.92,241.409,213.015,501.71,124.795,138.694,256.43,919.0
2019-10-31,334.558,241.999,215.268,506.433,123.489,139.701,257.155,936.0
2019-11-30,335.484,242.726,217.488,508.315,123.55,139.579,257.879,936.0
2019-12-31,336.418,242.887,221.18,510.875,122.859,140.088,258.63,936.0
2020-01-31,337.591,243.511,220.147,511.854,122.477,139.424,259.127,957.0
2020-02-29,338.489,244.2,214.294,512.967,122.952,140.593,259.25,957.0
2020-03-31,339.502,245.017,201.681,514.743,121.558,141.667,258.076,957.0
2020-04-30,340.225,251.063,182.586,516.77,117.065,138.89,256.032,1002.0
2020-05-31,341.007,253.23,180.04,519.152,114.244,137.922,255.802,1002.0
2020-06-30,341.524,254.674,188.734,520.867,115.665,134.156,257.042,1002.0
2020-07-31,342.312,252.003,191.966,522.675,116.576,136.77,258.352,994.0
2020-08-31,342.65,252.148,193.307,522.922,116.907,144.102,259.316,994.0
2020-09-30,342.986,251.166,196.705,522.947,117.157,152.968,259.997,994.0
2020-10-31,343.502,251.641,196.113,520.943,117.158,155.964,260.319,984.0
2020-11-30,343.731,251.365,197.017,520.567,117.411,154.817,260.911,984.0
2020-12-31,344.125,252.536,205.67,519.866,117.967,154.216,262.045,984.0
2021-01-31,344.489,252.541,212.47,521.832,119.065,153.361,262.687,989.0
