date,value
2018-01-03,2113.2516
2018-01-10,2109.7487
2018-01-17,2112.1163
2018-01-24,2107.0196
2018-01-31,2108.3008
2018-02-07,2108.5285
2018-02-14,2110.1724
2018-02-21,2114.2165
2018-02-28,2115.4139
2018-03-07,2115.382
2018-03-14,2120.1668
2018-03-21,2116.42
2018-03-28,2126.6945
2018-04-04,2157.3407
2018-04-11,2163.0856
2018-04-18,2166.5328
2018-04-25,2172.9152
2018-05-02,2172.4134
2018-05-09,2172.1512
2018-05-16,2170.6373
2018-05-23,2172.923
2018-05-30,2177.52
2018-06-06,2182.253
2018-06-13,2180.5101
2018-06-20,2201.101
2018-06-27,2196.8814
2018-07-04,2194.7371
2018-07-11,2210.0897
2018-07-18,2206.0281
2018-07-25,2201.4959
2018-08-01,2203.8712
2018-08-08,2201.8809
2018-08-15,2207.1712
2018-08-22,2212.0775
2018-08-29,2214.9101
2018-09-05,2219.538
2018-09-12,2221.3182
2018-09-19,2225.9242
2018-09-26,2226.171
2018-10-03,2241.3417
2018-10-10,2243.4112
2018-10-17,2249.5267
2018-10-24,2254.9783
2018-10-31,2258.6086
2018-11-07,2260.8543
2018-11-14,2274.0832
2018-11-21,2281.3686
2018-11-28,2276.5122
2018-12-05,2288.4286
2018-12-12,2296.5252
2018-12-19,2293.631
2018-12-26,2316.1665
2019-01-02,2325.8137
2019-01-09,2326.022
2019-01-16,2325.643
2019-01-23,2328.8635
2019-01-30,2321.3237
2019-02-06,2327.8839
2019-02-13,2337.2223
2019-02-20,2334.3383
2019-02-27,2328.3716
2019-03-06,2333.1033
2019-03-13,2329.4944
2019-03-20,2348.0277
2019-03-27,2340.4233
2019-04-03,2335.8739
2019-04-10,2323.7781
2019-04-17,2328.5793
2019-04-24,2328.2363
2019-05-01,2334.4974
2019-05-08,2332.1085
2019-05-15,2339.8837
2019-05-22,2337.9308
2019-05-29,2328.2104
2019-06-05,2326.0116
2019-06-12,2333.7571
2019-06-19,2338.3001
2019-06-26,2345.9561
2019-07-03,2346.8723
2019-07-10,2342.7459
2019-07-17,2342.1414
2019-07-24,2349.2198
2019-07-31,2347.1348
2019-08-07,2350.418
2019-08-14,2364.0202
2019-08-21,2370.6016
2019-08-28,2368.5841
2019-09-04,2367.8747
2019-09-11,2365.8313
2019-09-18,2370.8176
2019-09-25,2377.03
2019-10-02,2369.3131
2019-10-09,2366.6123
2019-10-16,2373.7279
2019-10-23,2369.4833
2019-10-30,2372.4833
2019-11-06,2373.3409
2019-11-13,2370.5143
2019-11-20,2368.5176
2019-11-27,2368.1351
2019-12-04,2361.8532
2019-12-11,2363.2792
2019-12-18,2361.3788
2019-12-25,2354.8014
2020-01-01,2347.4054
2020-01-08,2353.5675
2020-01-15,2353.9221
2020-01-22,2356.7561
2020-01-29,2353.3338
2020-02-05,2354.0965
2020-02-12,2349.6895
2020-02-19,2353.6619
2020-02-26,2348.2256
2020-03-04,2346.5745
2020-03-11,2360.0372
2020-03-18,2534.6579
2020-03-25,2715.0714
2020-04-01,2807.4015
2020-04-08,2829.2283
2020-04-15,2868.4423
2020-04-22,2974.4932
2020-04-29,3006.4354
2020-05-06,3064.3759
2020-05-13,3070.3353
2020-05-20,3036.5319
2020-05-27,3012.194
2020-06-03,2971.3354
2020-06-10,2961.634
2020-06-17,2929.8963
2020-06-24,2903.7535
2020-07-01,2873.0294
2020-07-08,2864.1199
2020-07-15,2862.4848
2020-07-22,2859.6774
2020-07-29,2841.358
2020-08-05,2835.4208
2020-08-12,2827.8497
2020-08-19,2812.1365
2020-08-26,2806.966
2020-09-02,2791.5603
2020-09-09,2786.4996
2020-09-16,2766.2444
2020-09-23,2753.1382
2020-09-30,2725.2104
2020-10-07,2714.8435
2020-10-14,2702.94
2020-10-21,2704.0195
2020-10-28,2688.7923
2020-11-04,2661.2447
2020-11-11,2653.427
2020-11-18,2637.1785
2020-11-25,2625.1841
2020-12-02,2616.8571
2020-12-09,2604.6085
2020-12-16,2592.1412
2020-12-23,2582.4358
2020-12-30,2579.6739
2021-01-06,2572.713
2021-01-13,2561.1222
2021-01-20,2554.9256
2021-01-27,2556.4437
2021-02-03,2568.6768
2021-02-10,2575.9325
2021-02-17,2591.4766
2021-02-24,2596.5127
2021-03-03,2594.2442
2021-03-10,2595.1212
2021-03-17,2583.2161
2021-03-24,2589.416
2021-03-31,2576.971
2021-04-07,2567.9401
2021-04-14,2555.456
2021-04-21,2549.5814
2021-04-28,2551.6522
2021-05-05,2552.8906
