date,value
2018-01-03,1285.7453
2018-01-10,1271.4043
2018-01-17,1276.097
2018-01-24,1267.3788
2018-01-31,1276.0506
2018-02-07,1277.5497
2018-02-14,1281.9586
2018-02-21,1286.9397
2018-02-28,1288.8841
2018-03-07,1291.6178
2018-03-14,1295.6878
2018-03-21,1296.5719
2018-03-28,1304.1312
2018-04-04,1307.3975
2018-04-11,1305.5499
2018-04-18,1321.3111
2018-04-25,1322.6276
2018-05-02,1327.0619
2018-05-09,1319.0087
2018-05-16,1318.1144
2018-05-23,1317.2851
2018-05-30,1328.7634
2018-06-06,1324.4121
2018-06-13,1319.0569
2018-06-20,1332.414
2018-06-27,1329.455
2018-07-04,1328.5544
2018-07-11,1326.5747
2018-07-18,1323.9359
2018-07-25,1317.5012
2018-08-01,1322.7477
2018-08-08,1317.3877
2018-08-15,1319.0077
2018-08-22,1321.6325
2018-08-29,1320.3115
2018-09-05,1322.4261
2018-09-12,1320.039
2018-09-19,1325.1266
2018-09-26,1327.443
2018-10-03,1334.4202
2018-10-10,1335.0766
2018-10-17,1340.2686
2018-10-24,1341.4656
2018-10-31,1351.3555
2018-11-07,1350.9948
2018-11-14,1364.0059
2018-11-21,1373.6206
2018-11-28,1368.0339
2018-12-05,1369.6989
2018-12-12,1369.4003
2018-12-19,1380.597
2018-12-26,1406.1206
2019-01-02,1407.5145
2019-01-09,1393.3528
2019-01-16,1393.5929
2019-01-23,1393.3338
2019-01-30,1386.7244
2019-02-06,1394.0044
2019-02-13,1404.1916
2019-02-20,1409.7676
2019-02-27,1406.0961
2019-03-06,1410.938
2019-03-13,1408.1437
2019-03-20,1426.0473
2019-03-27,1417.8979
2019-04-03,1418.2603
2019-04-10,1408.6051
2019-04-17,1420.0965
2019-04-24,1418.9034
2019-05-01,1427.7305
2019-05-08,1421.2717
2019-05-15,1420.9235
2019-05-22,1419.1938
2019-05-29,1417.6616
2019-06-05,1416.5999
2019-06-12,1412.6062
2019-06-19,1418.403
2019-06-26,1424.226
2019-07-03,1425.8406
2019-07-10,1415.1485
2019-07-17,1412.238
2019-07-24,1412.6574
2019-07-31,1415.5252
2019-08-07,1413.9234
2019-08-14,1418.8382
2019-08-21,1421.5607
2019-08-28,1419.8233
2019-09-04,1418.3602
2019-09-11,1411.1112
2019-09-18,1416.9873
2019-09-25,1417.7891
2019-10-02,1414.1249
2019-10-09,1408.3077
2019-10-16,1417.3992
2019-10-23,1409.6478
2019-10-30,1413.1303
2019-11-06,1415.1714
2019-11-13,1412.3356
2019-11-20,1411.2964
2019-11-27,1413.9273
2019-12-04,1403.5451
2019-12-11,1396.7654
2019-12-18,1405.8374
2019-12-25,1410.5322
2020-01-01,1400.1971
2020-01-08,1394.7844
2020-01-15,1397.7631
2020-01-22,1400.5707
2020-01-29,1402.2946
2020-02-05,1409.609
2020-02-12,1409.7433
2020-02-19,1417.4781
2020-02-26,1412.6739
2020-03-04,1415.3845
2020-03-11,1422.9036
2020-03-18,1541.7348
2020-03-25,1653.1611
2020-04-01,1700.6111
2020-04-08,1708.7279
2020-04-15,1726.647
2020-04-22,1763.7314
2020-04-29,1770.4203
2020-05-06,1796.037
2020-05-13,1785.7093
2020-05-20,1759.5287
2020-05-27,1738.5371
2020-06-03,1712.2016
2020-06-10,1691.6852
2020-06-17,1669.9635
2020-06-24,1649.272
2020-07-01,1628.0439
2020-07-08,1614.5488
2020-07-15,1607.4564
2020-07-22,1599.1482
2020-07-29,1588.6055
2020-08-05,1581.0928
2020-08-12,1571.9386
2020-08-19,1559.791
2020-08-26,1550.7823
2020-09-02,1533.0395
2020-09-09,1525.6156
2020-09-16,1518.4328
2020-09-23,1504.7925
2020-09-30,1488.4565
2020-10-07,1481.3475
2020-10-14,1475.2728
2020-10-21,1472.8017
2020-10-28,1465.613
2020-11-04,1461.8062
2020-11-11,1455.5338
2020-11-18,1454.5249
2020-11-25,1453.3111
2020-12-02,1450.8052
2020-12-09,1438.0878
2020-12-16,1440.7804
2020-12-23,1447.4792
2020-12-30,1447.4144
2021-01-06,1426.941
2021-01-13,1419.4683
2021-01-20,1417.5416
2021-01-27,1412.4723
2021-02-03,1423.3762
2021-02-10,1425.4487
2021-02-17,1439.8248
2021-02-24,1436.16
2021-03-03,1437.5404
2021-03-10,1439.6865
2021-03-17,1436.8366
2021-03-24,1438.0477
2021-03-31,1437.1255
2021-04-07,1434.8537
2021-04-14,1431.162
2021-04-21,1430.8932
2021-04-28,1436.2068
2021-05-05,1435.6427
2021-05-12,1429.608
2021-05-19,1429.4967
2021-05-26,1418.0998
2021-06-02,1414.0168
2021-06-09,1404.8797
2021-06-16,1388.6877
2021-06-23,1380.561
2021-06-30,1377.1069
2021-07-07,1378.3734
2021-07-14,1371.229
2021-07-21,1361.9328
2021-07-28,1362.1336
2021-08-04,1362.8548
2021-08-11,1355.0847
2021-08-18,1348.2078
2021-08-25,1343.14
2021-09-01,1345.9887
2021-09-08,1342.7499
2021-09-15,1340.3032
2021-09-22,1336.1692
2021-09-29,1335.5502
2021-10-06,1331.4326
2021-10-13,1335.22
2021-10-20,1339.7782
2021-10-27,1341.6974
2021-11-03,1360.7817
2021-11-10,1361.112
2021-11-17,1361.6808
2021-11-24,1364.2562
2021-12-01,1371.4632
2021-12-08,1368.4973
2021-12-15,1383.0069
2021-12-22,1404.4614
2021-12-29,1407.3105
2022-01-05,1404.3057
2022-01-12,1392.6373
2022-01-19,1397.4484
2022-01-26,1396.4966
2022-02-02,1402.6441
2022-02-09,1400.7243
2022-02-16,1418.0676
2022-02-23,1424.2229
2022-03-02,1443.6444
2022-03-09,1442.823
2022-03-16,1457.7737
2022-03-23,1463.7693
2022-03-30,1470.6719
2022-04-06,1469.5676
2022-04-13,1478.3644
2022-04-20,1488.83
2022-04-27,1491.2272
2022-05-04,1502.5468
2022-05-11,1500.8807
2022-05-18,1508.6384
2022-05-25,1513.191
2022-06-01,1526.1446
2022-06-08,1531.2582
2022-06-15,1537.0754
2022-06-22,1547.13
2022-06-29,1549.9127
2022-07-06,1552.1965
2022-07-13,1546.6907
2022-07-20,1549.7501
2022-07-27,1550.1315
2022-08-03,1558.9553
2022-08-10,1556.6253
2022-08-17,1558.9189
2022-08-24,1555.0379
2022-08-31,1545.5903
2022-09-07,1546.4296
2022-09-14,1552.3035
2022-09-21,1557.973
2022-09-28,1554.1804
2022-10-05,1556.4822
2022-10-12,1559.1605
2022-10-19,1560.0775
2022-10-26,1561.8798
2022-11-02,1570.5733
2022-11-09,1574.2057
2022-11-16,1572.0192
2022-11-23,1579.9414
2022-11-30,1573.0921
2022-12-07,1570.4684
2022-12-14,1577.0362
2022-12-21,1583.7269
2022-12-28,1582.0735
2023-01-04,1578.3187
2023-01-11,1572.3013
2023-01-18,1577.9876
2023-01-25,1578.924
2023-02-01,1583.8131
2023-02-08,1584.0356
2023-02-15,1585.4689
2023-02-22,1588.6937
2023-03-01,1593.7421
2023-03-08,1592.8991
2023-03-15,1605.1474
2023-03-22,1604.7502
2023-03-29,1603.6494
2023-04-05,1608.7245
2023-04-12,1601.733
2023-04-19,1607.0784
2023-04-26,1605.5191
2023-05-03,1607.6504
2023-05-10,1600.258
2023-05-17,1597.0043
2023-05-24,1591.3973
2023-05-31,1593.5698
2023-06-07,1588.4681
2023-06-14,1588.3409
2023-06-21,1590.8152
2023-06-28,1583.1247
2023-07-05,1583.4229
2023-07-12,1576.3234
2023-07-19,1573.8207
2023-07-26,1573.137
2023-08-02,1577.3916
2023-08-09,1567.887
2023-08-16,1570.0389
2023-08-23,1564.0428
2023-08-30,1564.2255
2023-09-06,1560.063
2023-09-13,1558.3344
2023-09-20,1558.0107
2023-09-27,1556.4079
2023-10-04,1569.9953
2023-10-11,1570.8484
2023-10-18,1566.8362
2023-10-25,1563.7182
2023-11-01,1574.9894
2023-11-08,1561.7992
2023-11-15,1558.885
2023-11-22,1564.7229
2023-11-29,1564.6523
2023-12-06,1557.1619
2023-12-13,1554.5097
2023-12-20,1563.4941
2023-12-27,1561.6916
2024-01-03,1551.8511
2024-01-10,1544.7246
2024-01-17,1548.6607
2024-01-24,1542.3689
2024-01-31,1556.2909
2024-02-07,1559.7144
2024-02-14,1562.8151
2024-02-21,1559.0261
2024-02-28,1565.8614
2024-03-06,1560.7929
2024-03-13,1559.8115
2024-03-20,1563.6308
2024-03-27,1562.8835
2024-04-03,1563.906
2024-04-10,1559.8017
2024-04-17,1570.5439
2024-04-24,1570.1466
2024-05-01,1580.2829
2024-05-08,1576.215
2024-05-15,1575.4213
2024-05-22,1573.5179
2024-05-29,1576.5644
2024-06-05,1575.5387
2024-06-12,1569.3696
2024-06-19,1572.1853
2024-06-26,1575.0939
2024-07-03,1579.5603
2024-07-10,1563.6602
2024-07-17,1559.0218
2024-07-24,1553.5234
2024-07-31,1564.554
2024-08-07,1561.0417
2024-08-14,1556.4069
2024-08-21,1561.1631
2024-08-28,1559.4527
2024-09-04,1564.104
2024-09-11,1561.4503
2024-09-18,1569.3058
2024-09-25,1571.5692
2024-10-02,1568.1422
2024-10-09,1559.3418
2024-10-16,1569.0361
2024-10-23,1561.3154
2024-10-30,1576.4593
2024-11-06,1572.512
2024-11-13,1571.5412
2024-11-20,1562.4999
2024-11-27,1574.7416
2024-12-04,1573.0648
2024-12-11,1573.1082
2024-12-18,1573.5928
2024-12-25,1575.6657
2025-01-01,1451.7913
2025-01-08,1452.0572
2025-01-15,1453.9651
2025-01-22,1458.4712
2025-01-29,1463.8447
2025-02-05,1468.3958
2025-02-12,1467.9635
2025-02-19,1480.5829
2025-02-26,1475.7161
2025-03-05,1488.3929
2025-03-12,1485.1729
2025-03-19,1485.0613
2025-03-26,1491.6788
2025-04-02,1471.8461
2025-04-09,1475.6176
2025-04-16,1487.8854
2025-04-23,1483.2731
2025-04-30,1488.4612
2025-05-07,1481.4962
2025-05-14,1482.2452
2025-05-21,1483.5433
2025-05-28,1481.2711
2025-06-04,1481.6519
2025-06-11,1475.9469
2025-06-18,1485.8799
2025-06-25,1486.3243
2025-07-02,1451.8436
2025-07-09,1446.2613
2025-07-16,1441.3408
2025-07-23,1442.9209
2025-07-30,1449.5766
2025-08-06,1448.691
2025-08-13,1448.5058
2025-08-20,1444.5547
2025-08-27,1444.9826
2025-09-03,1451.5714
2025-09-10,1444.2622
2025-09-17,1448.8309
2025-09-24,1451.6368
2025-10-01,1449.0679
2025-10-08,1443.1525
2025-10-15,1441.5964
2025-10-22,1440.8958
2025-10-29,1441.6288
2025-11-05,1448.7961
2025-11-12,1443.6482
2025-11-19,1445.5986
2025-11-26,1453.3639
2025-12-03,1447.5671
2025-12-10,1439.6416
2025-12-17,1451.7716
2025-12-24,1457.9375
2025-12-31,1444.8442
2026-01-07,1443.9153
2026-01-14,1449.0972
2026-01-21,1458.7526
2026-01-28,1460.7243
2026-02-04,1490.6836
2026-02-11,1493.8859
2026-02-18,1499.13
2026-02-25,1493.7851
2026-03-04,1521.2447
2026-03-11,1526.4374
2026-03-18,1528.7921
2026-03-25,1528.7919
2026-04-01,1549.1269
2026-04-08,1552.8249
2026-04-15,1558.1004
2026-04-22,1560.4191
2026-04-29,1572.2653
2026-05-06,1574.2847
2026-05-13,1568.1459
2026-05-20,1573.5623
2026-05-27,1574.2225
2026-06-03,1581.8893
2026-06-10,1577.6314
2026-06-17,1576.0811
2026-06-24,1577.168
2026-07-01,1573.477
2026-07-08,1561.505
2026-07-15,1559.45
2026-07-22,1554.334
2026-07-29,1562.754
2026-08-05,1572.349
2026-08-12,1571.912
2026-08-19,1577.11
2026-08-26,1581.897
2026-09-02,1585.854
2026-09-09,1581.767
