date,value
2018-01-01,2109.6791
2018-02-01,2112.0828
2018-03-01,2123.3118
2018-04-01,2166.9722
2018-05-01,2173.5387
2018-06-01,2190.9059
2018-07-01,2204.0475
2018-08-01,2209.5234
2018-09-01,2225.8983
2018-10-01,2250.6354
2018-11-01,2274.2195
2018-12-01,2303.7249
2019-01-01,2325.5638
2019-02-01,2332.1404
2019-03-01,2337.6688
2019-04-01,2329.2921
2019-05-01,2333.9824
2019-06-01,2338.1213
2019-07-01,2345.4616
2019-08-01,2363.8384
2019-09-01,2370.4605
2019-10-01,2370.5844
2019-11-01,2369.1925
2019-12-01,2357.6794
2020-01-01,2354.1502
2020-02-01,2350.7326
2020-03-01,2564.4862
2020-04-01,2920.7324
2020-05-01,3035.646
2020-06-01,2923.9723
2020-07-01,2856.0436
2020-08-01,2814.9539
2020-09-01,2760.0256
2020-10-01,2698.642
2020-11-01,2637.993
2020-12-01,2590.9175
2021-01-01,2561.8847
2021-02-01,2586.8021
2021-03-01,2586.9613
2021-04-01,2555.9397
2021-05-01,2545.3037
2021-06-01,2476.2883
2021-07-01,2450.0483
2021-08-01,2428.1448
2021-09-01,2416.7921
2021-10-01,2421.4054
2021-11-01,2436.2572
2021-12-01,2474.0848
2022-01-01,2487.9189
2022-02-01,2499.3377
2022-03-01,2538.8537
2022-04-01,2564.3738
2022-05-01,2609.33
2022-06-01,2665.5908
2022-07-01,2697.8587
2022-08-01,2723.4056
2022-09-01,2747.9147
2022-10-01,2773.0009
2022-11-01,2792.5376
2022-12-01,2800.5079
2023-01-01,2814.1478
2023-02-01,2807.35
2023-03-01,2797.0376
2023-04-01,2767.6207
2023-05-01,2764.3326
2023-06-01,2752.8699
2023-07-01,2752.8897
2023-08-01,2757.5139
2023-09-01,2761.2738
2023-10-01,2774.0428
2023-11-01,2767.8002
2023-12-01,2764.9288
2024-01-01,2762.6228
2024-02-01,2767.0617
2024-03-01,2749.6389
2024-04-01,2743.3657
2024-05-01,2754.7942
2024-06-01,2761.7317
2024-07-01,2756.7035
2024-08-01,2765.3486
2024-09-01,2778.8287
2024-10-01,2788.8245
2024-11-01,2794.746
2024-12-01,2771.9429
2025-01-01,2669.2556
2025-02-01,2672.4448
2025-03-01,2672.4789
2025-04-01,2660.0334
2025-05-01,2673.2668
2025-06-01,2680.0988
2025-07-01,2668.2244
2025-08-01,2682.1466
2025-09-01,2693.1486
2025-10-01,2694.8745
2025-11-01,2703.5864
2025-12-01,2711.3055
2026-01-01,2738.3805
2026-02-01,2785.5768
2026-03-01,2823.3907
2026-04-01,2859.0254
2026-05-01,2887.8183
2026-06-01,2904.4711
2026-07-01,2898.7235
