date,value
2018-01-03,458.6657
2018-01-10,457.8247
2018-01-17,458.951
2018-01-24,458.0622
2018-01-31,459.2124
2018-02-07,459.5913
2018-02-14,460.6854
2018-02-21,462.7683
2018-02-28,464.4459
2018-03-07,464.6512
2018-03-14,464.7512
2018-03-21,465.5331
2018-03-28,466.4058
2018-04-04,492.4605
2018-04-11,492.6301
2018-04-18,495.3149
2018-04-25,496.3224
2018-05-02,498.7201
2018-05-09,497.7943
2018-05-16,499.3596
2018-05-23,499.2289
2018-05-30,501.2236
2018-06-06,501.6499
2018-06-13,501.7161
2018-06-20,504.495
2018-06-27,506.068
2018-07-04,506.5476
2018-07-11,505.4143
2018-07-18,506.0061
2018-07-25,505.4158
2018-08-01,506.0833
2018-08-08,505.5773
2018-08-15,506.7153
2018-08-22,506.5005
2018-08-29,506.8775
2018-09-05,507.7049
2018-09-12,508.625
2018-09-19,509.6934
2018-09-26,510.989
2018-10-03,511.7978
2018-10-10,512.9374
2018-10-17,513.4114
2018-10-24,514.0274
2018-10-31,515.3185
2018-11-07,514.8752
2018-11-14,516.4061
2018-11-21,517.7334
2018-11-28,517.1971
2018-12-05,518.2721
2018-12-12,520.2217
2018-12-19,524.595
2018-12-26,527.8964
2019-01-02,528.5315
2019-01-09,526.3282
2019-01-16,526.0331
2019-01-23,526.8732
2019-01-30,527.9826
2019-02-06,528.6086
2019-02-13,529.0204
2019-02-20,530.5924
2019-02-27,531.6209
2019-03-06,532.58
2019-03-13,533.1803
2019-03-20,533.6887
2019-03-27,534.7211
2019-04-03,535.8297
2019-04-10,535.2999
2019-04-17,538.0195
2019-04-24,537.7706
2019-05-01,540.7405
2019-05-08,539.4033
2019-05-15,540.0125
2019-05-22,540.0842
2019-05-29,540.5474
2019-06-05,541.3371
2019-06-12,541.8788
2019-06-19,544.108
2019-06-26,545.973
2019-07-03,546.5024
2019-07-10,544.3305
2019-07-17,543.689
2019-07-24,542.9516
2019-07-31,544.9058
2019-08-07,543.8076
2019-08-14,544.2348
2019-08-21,544.1783
2019-08-28,543.6677
2019-09-04,544.2258
2019-09-11,544.0998
2019-09-18,545.4607
2019-09-25,546.8829
2019-10-02,546.9001
2019-10-09,546.1923
2019-10-16,547.8298
2019-10-23,547.0442
2019-10-30,547.8617
2019-11-06,547.4496
2019-11-13,547.7884
2019-11-20,548.3426
2019-11-27,549.2257
2019-12-04,547.9129
2019-12-11,548.9566
2019-12-18,552.5246
2019-12-25,555.5048
2020-01-01,556.5269
2020-01-08,553.8686
2020-01-15,555.2529
2020-01-22,555.0273
2020-01-29,554.0934
2020-02-05,555.452
2020-02-12,555.5797
2020-02-19,556.9549
2020-02-26,556.8131
2020-03-04,558.6635
2020-03-11,560.4004
2020-03-18,573.9492
2020-03-25,585.9909
2020-04-01,589.5589
2020-04-08,594.3051
2020-04-15,640.299
2020-04-22,713.8206
2020-04-29,748.4357
2020-05-06,779.093
2020-05-13,791.8287
2020-05-20,795.4313
2020-05-27,797.2869
2020-06-03,797.8214
2020-06-10,799.1268
2020-06-17,797.6695
2020-06-24,797.057
2020-07-01,796.8051
2020-07-08,794.5862
2020-07-15,794.2696
2020-07-22,793.4628
2020-07-29,791.4115
2020-08-05,792.5832
2020-08-12,791.8204
2020-08-19,790.25
2020-08-26,789.0157
2020-09-02,787.6645
2020-09-09,785.9384
2020-09-16,785.9722
2020-09-23,785.0825
2020-09-30,783.8305
2020-10-07,783.6105
2020-10-14,782.2222
2020-10-21,780.4433
2020-10-28,779.602
2020-11-04,772.2928
2020-11-11,765.6872
2020-11-18,760.8721
2020-11-25,756.3239
2020-12-02,751.1108
2020-12-09,745.5212
2020-12-16,742.5566
2020-12-23,742.5228
2020-12-30,741.2696
2021-01-06,742.142
2021-01-13,733.7567
2021-01-20,729.2494
2021-01-27,734.3777
2021-02-03,747.4688
2021-02-10,758.1073
2021-02-17,767.3452
2021-02-24,773.914
2021-03-03,777.8106
2021-03-10,774.3985
2021-03-17,774.0464
2021-03-24,776.9563
2021-03-31,776.4035
2021-04-07,775.6993
2021-04-14,772.958
2021-04-21,771.1188
2021-04-28,769.7792
2021-05-05,769.5453
2021-05-12,766.358
2021-05-19,764.8063
2021-05-26,760.2342
2021-06-02,757.8542
2021-06-09,748.9673
2021-06-16,722.5513
2021-06-23,718.535
2021-06-30,716.4831
2021-07-07,710.8626
2021-07-14,705.074
2021-07-21,700.2612
2021-07-28,696.1384
2021-08-04,691.5012
2021-08-11,685.4923
2021-08-18,680.4152
2021-08-25,674.895
2021-09-01,671.8293
2021-09-08,667.4381
2021-09-15,665.5138
2021-09-22,661.1268
2021-09-29,661.7448
2021-10-06,658.0884
2021-10-13,657.612
2021-10-20,656.4068
2021-10-27,653.6696
2021-11-03,654.1903
2021-11-10,653.08
2021-11-17,653.4392
2021-11-24,652.6828
2021-12-01,650.2938
2021-12-08,650.8447
2021-12-15,653.9211
2021-12-22,661.3036
2021-12-29,661.8225
2022-01-05,659.5633
2022-01-12,657.1307
2022-01-19,656.6606
2022-01-26,655.7034
2022-02-02,657.3709
2022-02-09,655.9907
2022-02-16,655.8154
2022-02-23,655.8171
2022-03-02,658.5566
2022-03-09,658.967
2022-03-16,659.7903
2022-03-23,661.7757
2022-03-30,664.5961
2022-04-06,666.1194
2022-04-13,668.3506
2022-04-20,671.927
2022-04-27,672.7258
2022-05-04,674.0962
2022-05-11,673.6263
2022-05-18,675.2146
2022-05-25,676.491
2022-06-01,679.7154
2022-06-08,680.1708
2022-06-15,682.3486
2022-06-22,685.268
2022-06-29,689.1323
2022-07-06,688.9315
2022-07-13,687.9883
2022-07-20,688.3309
2022-07-27,691.9295
2022-08-03,693.6887
2022-08-10,692.7737
2022-08-17,693.3051
2022-08-24,693.7921
2022-08-31,697.3847
2022-09-07,697.6974
2022-09-14,700.3135
2022-09-21,702.675
2022-09-28,704.2086
2022-10-05,704.9848
2022-10-12,704.5615
2022-10-19,704.4525
2022-10-26,706.7452
2022-11-02,706.4977
2022-11-09,706.9893
2022-11-16,698.8518
2022-11-23,700.6676
2022-11-30,698.5099
2022-12-07,703.5196
2022-12-14,705.7918
2022-12-21,707.3291
2022-12-28,709.1145
2023-01-04,706.1143
2023-01-11,705.2877
2023-01-18,707.5384
2023-01-25,707.379
2023-02-01,708.7099
2023-02-08,707.8884
2023-02-15,708.3001
2023-02-22,709.1243
2023-03-01,710.3789
2023-03-08,709.3589
2023-03-15,718.1166
2023-03-22,687.7328
2023-03-29,686.0816
2023-04-05,686.1855
2023-04-12,685.893
2023-04-19,689.5776
2023-04-26,689.2979
2023-05-03,689.0916
2023-05-10,688.479
2023-05-17,688.6087
2023-05-24,688.3427
2023-05-31,690.3742
2023-06-07,689.7459
2023-06-14,691.2081
