date,value
2018-01-03,2091.0437
2018-01-10,2095.2868
2018-01-17,2098.589
2018-01-24,2100.2202
2018-01-31,2101.8621
2018-02-07,2104.178
2018-02-14,2106.2876
2018-02-21,2108.1613
2018-02-28,2110.9879
2018-03-07,2112.8182
2018-03-14,2115.5925
2018-03-21,2117.6484
2018-03-28,2118.5432
2018-04-04,2119.1127
2018-04-11,2120.7002
2018-04-18,2122.858
2018-04-25,2127.2924
2018-05-02,2128.0178
2018-05-09,2130.4186
2018-05-16,2132.2312
2018-05-23,2133.0987
2018-05-30,2134.5082
2018-06-06,2137.6793
2018-06-13,2144.1891
2018-06-20,2146.4663
2018-06-27,2151.5996
2018-07-04,2151.4696
2018-07-11,2153.1826
2018-07-18,2154.9917
2018-07-25,2157.7559
2018-08-01,2151.6773
2018-08-08,2150.2507
2018-08-15,2150.8529
2018-08-22,2154.5047
2018-08-29,2156.6558
2018-09-05,2158.7834
2018-09-12,2160.9718
2018-09-19,2164.0642
2018-09-26,2166.912
2018-10-03,2167.1034
2018-10-10,2171.3629
2018-10-17,2172.1366
2018-10-24,2173.3881
2018-10-31,2172.5228
2018-11-07,2175.6688
2018-11-14,2177.935
2018-11-21,2178.5413
2018-11-28,2179.2047
2018-12-05,2177.1076
2018-12-12,2181.3386
2018-12-19,2185.4378
2018-12-26,2184.7594
2019-01-02,2189.3586
2019-01-09,2191.2223
2019-01-16,2193.3072
2019-01-23,2194.1693
2019-01-30,2194.8684
2019-02-06,2198.1417
2019-02-13,2200.5059
2019-02-20,2202.9716
2019-02-27,2204.5727
2019-03-06,2206.7653
2019-03-13,2208.8189
2019-03-20,2210.9503
2019-03-27,2211.0833
2019-04-03,2213.3577
2019-04-10,2216.0618
2019-04-17,2217.2503
2019-04-24,2217.4231
2019-05-01,2225.8847
2019-05-08,2227.7118
2019-05-15,2230.4022
2019-05-22,2232.6322
2019-05-29,2234.973
2019-06-05,2234.7749
2019-06-12,2233.9944
2019-06-19,2238.3629
2019-06-26,2239.6374
2019-07-03,2240.3156
2019-07-10,2242.5265
2019-07-17,2243.9004
2019-07-24,2245.3428
2019-07-31,2249.3388
2019-08-07,2248.8116
2019-08-14,2249.3125
2019-08-21,2251.9588
2019-08-28,2254.3764
2019-09-04,2257.3134
2019-09-11,2261.0683
2019-09-18,2264.6406
2019-09-25,2269.971
2019-10-02,2271.4687
2019-10-09,2273.7922
2019-10-16,2278.4176
2019-10-23,2280.3512
2019-10-30,2281.6282
2019-11-06,2286.011
2019-11-13,2289.5915
2019-11-20,2293.1056
2019-11-27,2299.8054
2019-12-04,2304.8755
2019-12-11,2320.3079
2019-12-18,2319.6334
2019-12-25,2320.0483
2020-01-01,2325.76
2020-01-08,2326.9043
2020-01-15,2330.0432
2020-01-22,2331.2904
2020-01-29,2334.6619
2020-02-05,2339.7565
2020-02-12,2341.9395
2020-02-19,2342.3014
2020-02-26,2344.7848
2020-03-04,2348.042
2020-03-11,2349.9227
2020-03-18,2356.8028
2020-03-25,2365.2204
2020-04-01,2368.0634
2020-04-08,2371.7095
2020-04-15,2375.3375
2020-04-22,2377.7293
2020-04-29,2376.3505
2020-05-06,2378.2927
2020-05-13,2378.1924
2020-05-20,2381.4735
2020-05-27,2382.2582
2020-06-03,2383.6634
2020-06-10,2381.7988
2020-06-17,2381.8861
2020-06-24,2382.6997
2020-07-01,2385.1267
2020-07-08,2387.4972
2020-07-15,2389.2752
2020-07-22,2391.3163
2020-07-29,2391.6668
2020-08-05,2392.8077
2020-08-12,2393.629
2020-08-19,2394.5715
2020-08-26,2395.5974
2020-09-02,2395.4576
2020-09-09,2398.3965
2020-09-16,2398.9595
