date,value
2018-01-03,874.8964
2018-01-10,876.236
2018-01-17,877.7813
2018-01-24,877.691
2018-01-31,876.5087
2018-02-07,875.2795
2018-02-14,874.9913
2018-02-21,876.4485
2018-02-28,877.3975
2018-03-07,877.5087
2018-03-14,876.4807
2018-03-21,876.9133
2018-03-28,875.6863
2018-04-04,874.875
2018-04-11,873.8948
2018-04-18,875.0961
2018-04-25,876.8464
2018-05-02,875.1429
2018-05-09,875.6962
2018-05-16,875.7718
2018-05-23,875.7864
2018-05-30,877.149
2018-06-06,879.3845
2018-06-13,883.3581
2018-06-20,883.8713
2018-06-27,888.2251
2018-07-04,889.0449
2018-07-11,887.8576
2018-07-18,885.4994
2018-07-25,885.1943
2018-08-01,881.2326
2018-08-08,877.9684
2018-08-15,877.1619
2018-08-22,877.0303
2018-08-29,877.7342
2018-09-05,877.0361
2018-09-12,876.8671
2018-09-19,877.0886
2018-09-26,878.434
2018-10-03,877.7355
2018-10-10,879.1608
2018-10-17,879.1758
2018-10-24,878.9544
2018-10-31,876.1127
2018-11-07,877.2513
2018-11-14,878.5418
2018-11-21,877.6307
2018-11-28,876.6189
2018-12-05,873.3868
2018-12-12,875.009
2018-12-19,877.2846
2018-12-26,876.157
2019-01-02,878.8583
2019-01-09,879.0427
2019-01-16,879.2072
2019-01-23,879.294
2019-01-30,878.6188
2019-02-06,880.3383
2019-02-13,881.1121
2019-02-20,882.951
2019-02-27,883.04
2019-03-06,882.959
2019-03-13,884.3209
2019-03-20,884.1304
2019-03-27,882.9193
2019-04-03,880.6201
2019-04-10,880.9059
2019-04-17,881.0986
2019-04-24,881.1356
2019-05-01,884.0122
2019-05-08,884.3196
2019-05-15,886.7044
2019-05-22,886.6884
2019-05-29,886.4101
2019-06-05,883.2422
2019-06-12,882.2467
2019-06-19,882.192
2019-06-26,881.7379
2019-07-03,882.9955
2019-07-10,882.9007
2019-07-17,883.3871
2019-07-24,882.654
2019-07-31,882.6714
2019-08-07,882.0574
2019-08-14,881.3489
2019-08-21,882.493
2019-08-28,884.1811
2019-09-04,886.1486
2019-09-11,889.217
2019-09-18,890.2598
2019-09-25,893.1403
2019-10-02,896.4512
2019-10-09,896.6909
2019-10-16,896.0686
2019-10-23,896.7237
2019-10-30,898.4954
2019-11-06,899.181
2019-11-13,899.8849
2019-11-20,902.1535
2019-11-27,906.0993
2019-12-04,905.8314
2019-12-11,907.5583
2019-12-18,906.031
2019-12-25,904.9466
2020-01-01,907.0293
2020-01-08,907.0559
2020-01-15,908.378
2020-01-22,908.5509
2020-01-29,909.2207
2020-02-05,910.5282
2020-02-12,909.5547
2020-02-19,907.3444
2020-02-26,907.4697
2020-03-04,910.0549
2020-03-11,909.3418
2020-03-18,912.3267
2020-03-25,917.0471
2020-04-01,917.6223
2020-04-08,917.1368
2020-04-15,917.4114
2020-04-22,918.59
2020-04-29,916.2957
2020-05-06,917.2437
2020-05-13,916.849
2020-05-20,917.7205
2020-05-27,917.3395
