date,value
2018-01-03,1142.208
2018-01-10,1143.7812
2018-01-17,1145.1631
2018-01-24,1146.4449
2018-01-31,1149.3936
2018-02-07,1152.8016
2018-02-14,1155.0305
2018-02-21,1155.9212
2018-02-28,1158.182
2018-03-07,1159.3322
2018-03-14,1161.0093
2018-03-21,1163.2518
2018-03-28,1165.9994
2018-04-04,1167.472
2018-04-11,1169.1368
2018-04-18,1170.5431
2018-04-25,1172.4998
2018-05-02,1173.8076
2018-05-09,1175.6178
2018-05-16,1177.2177
2018-05-23,1178.735
2018-05-30,1180.741
2018-06-06,1182.8211
2018-06-13,1184.3417
2018-06-20,1186.323
2018-06-27,1187.7212
2018-07-04,1187.4169
2018-07-11,1189.7209
2018-07-18,1192.3054
2018-07-25,1194.4472
2018-08-01,1196.5111
2018-08-08,1199.2544
2018-08-15,1201.4656
2018-08-22,1203.9945
2018-08-29,1205.1337
2018-09-05,1207.2734
2018-09-12,1208.9875
2018-09-19,1210.4879
2018-09-26,1212.5514
2018-10-03,1213.9036
2018-10-10,1216.1798
2018-10-17,1217.7066
2018-10-24,1219.0618
2018-10-31,1221.2988
2018-11-07,1222.3486
2018-11-14,1223.9907
2018-11-21,1226.0051
2018-11-28,1227.8395
2018-12-05,1228.2668
2018-12-12,1229.8634
2018-12-19,1231.5692
2018-12-26,1232.2052
2019-01-02,1234.3597
2019-01-09,1235.6747
2019-01-16,1237.3205
2019-01-23,1238.3051
2019-01-30,1239.6987
2019-02-06,1241.0638
2019-02-13,1243.5061
2019-02-20,1244.5929
2019-02-27,1245.9115
2019-03-06,1248.3892
2019-03-13,1249.1955
2019-03-20,1250.679
2019-03-27,1252.45
2019-04-03,1256.2393
2019-04-10,1258.7754
2019-04-17,1260.0959
2019-04-24,1260.9188
2019-05-01,1267.2283
2019-05-08,1267.4233
2019-05-15,1267.5763
2019-05-22,1270.0262
2019-05-29,1271.9443
2019-06-05,1274.7641
2019-06-12,1275.7614
2019-06-19,1278.5894
2019-06-26,1280.3269
2019-07-03,1280.0428
2019-07-10,1281.9038
2019-07-17,1283.3055
2019-07-24,1285.1506
2019-07-31,1289.344
2019-08-07,1290.6908
2019-08-14,1292.2198
2019-08-21,1293.8869
2019-08-28,1294.8819
2019-09-04,1295.1263
2019-09-11,1294.7561
2019-09-18,1297.7441
2019-09-25,1298.1956
2019-10-02,1297.2248
2019-10-09,1298.9528
2019-10-16,1301.0823
2019-10-23,1303.2222
2019-10-30,1303.9822
2019-11-06,1308.2436
2019-11-13,1310.7607
2019-11-20,1312.2692
2019-11-27,1314.3599
2019-12-04,1320.0911
2019-12-11,1335.4497
2019-12-18,1336.3775
2019-12-25,1337.5904
2020-01-01,1339.485
2020-01-08,1339.8511
2020-01-15,1341.5751
2020-01-22,1342.8511
2020-01-29,1344.7829
2020-02-05,1348.4498
2020-02-12,1351.2027
2020-02-19,1353.238
2020-02-26,1355.3487
2020-03-04,1356.5711
2020-03-11,1358.8408
2020-03-18,1362.9507
2020-03-25,1365.8217
2020-04-01,1368.9284
2020-04-08,1372.5331
2020-04-15,1375.9859
2020-04-22,1376.3929
2020-04-29,1377.0738
2020-05-06,1378.3675
2020-05-13,1379.0848
2020-05-20,1381.4204
2020-05-27,1383.382
2020-06-03,1383.2996
2020-06-10,1384.2316
2020-06-17,1385.4449
2020-06-24,1385.8261
2020-07-01,1389.1184
2020-07-08,1390.797
2020-07-15,1391.6973
2020-07-22,1393.1867
2020-07-29,1393.7405
2020-08-05,1394.6972
2020-08-12,1395.9762
2020-08-19,1397.6304
2020-08-26,1399.0623
2020-09-02,1401.3871
2020-09-09,1403.7512
2020-09-16,1404.1108
2020-09-23,1404.3973
2020-09-30,1406.6546
2020-10-07,1407.9767
2020-10-14,1408.3831
2020-10-21,1409.2875
2020-10-28,1409.5221
2020-11-04,1410.4852
2020-11-11,1411.9032
2020-11-18,1412.2879
2020-11-25,1414.0487
2020-12-02,1414.9493
2020-12-09,1416.6451
2020-12-16,1418.1754
2020-12-23,1418.0663
2020-12-30,1418.6374
2021-01-06,1423.2895
2021-01-13,1425.056
2021-01-20,1426.9253
2021-01-27,1428.6698
2021-02-03,1431.0212
2021-02-10,1433.3029
2021-02-17,1434.7036
2021-02-24,1436.4254
2021-03-03,1437.0991
2021-03-10,1438.5754
2021-03-17,1439.6081
2021-03-24,1441.7104
2021-03-31,1445.3086
2021-04-07,1445.847
2021-04-14,1447.3445
2021-04-21,1448.7472
2021-04-28,1450.4789
2021-05-05,1452.0683
2021-05-12,1453.6866
2021-05-19,1454.4046
2021-05-26,1456.2931
2021-06-02,1461.2818
2021-06-09,1465.8307
2021-06-16,1468.1496
2021-06-23,1470.2264
2021-06-30,1473.9017
2021-07-07,1474.395
2021-07-14,1478.1749
2021-07-21,1480.2913
2021-07-28,1482.8943
2021-08-04,1486.0048
2021-08-11,1488.5285
2021-08-18,1490.3406
2021-08-25,1491.4476
2021-09-01,1491.4915
2021-09-08,1493.713
2021-09-15,1495.8806
2021-09-22,1497.1797
2021-09-29,1500.5765
2021-10-06,1500.6843
2021-10-13,1502.9288
2021-10-20,1505.3951
2021-10-27,1508.0288
2021-11-03,1515.7295
2021-11-10,1519.4761
2021-11-17,1526.5997
2021-11-24,1531.2196
2021-12-01,1532.7635
2021-12-08,1535.8372
2021-12-15,1538.2961
2021-12-22,1542.9787
2021-12-29,1547.2738
2022-01-05,1547.4919
2022-01-12,1549.7678
2022-01-19,1551.5537
2022-01-26,1555.5036
2022-02-02,1557.4155
2022-02-09,1561.211
2022-02-16,1564.8156
2022-02-23,1567.9988
2022-03-02,1572.89
2022-03-09,1575.6632
2022-03-16,1578.8322
2022-03-23,1582.3407
2022-03-30,1586.4814
2022-04-06,1590.6351
2022-04-13,1596.8145
2022-04-20,1601.6248
2022-04-27,1605.3031
2022-05-04,1609.4245
2022-05-11,1613.7032
2022-05-18,1619.3247
2022-05-25,1624.0089
2022-06-01,1629.1585
2022-06-08,1635.5589
2022-06-15,1642.6777
2022-06-22,1647.544
2022-06-29,1653.8372
2022-07-06,1657.9614
2022-07-13,1662.474
2022-07-20,1668.5372
2022-07-27,1672.5871
2022-08-03,1677.3717
2022-08-10,1684.0846
2022-08-17,1688.6292
2022-08-24,1693.4811
2022-08-31,1700.1588
2022-09-07,1702.9702
2022-09-14,1707.561
2022-09-21,1712.4677
2022-09-28,1716.3054
2022-10-05,1724.0906
2022-10-12,1728.2028
2022-10-19,1733.1437
2022-10-26,1739.0703
2022-11-02,1746.5227
2022-11-09,1751.6415
2022-11-16,1756.6506
2022-11-23,1762.5431
2022-11-30,1766.9073
2022-12-07,1819.6225
2022-12-14,1824.6541
2022-12-21,1829.9795
2022-12-28,1834.1914
2023-01-04,1833.9008
2023-01-11,1836.2998
2023-01-18,1840.4931
2023-01-25,1844.7154
2023-02-01,1848.8794
2023-02-08,1853.5423
2023-02-15,1859.5207
2023-02-22,1863.5251
2023-03-01,1869.8842
2023-03-08,1873.3566
2023-03-15,1877.4195
2023-03-22,1843.5377
2023-03-29,1845.2584
2023-04-05,1847.849
2023-04-12,1848.8198
2023-04-19,1850.9602
2023-04-26,1853.8372
2023-05-03,1855.6334
2023-05-10,1857.9532
2023-05-17,1861.6537
2023-05-24,1865.1788
2023-05-31,1868.2977
2023-06-07,1869.9685
2023-06-14,1871.1121
2023-06-21,1873.2375
2023-06-28,1875.6828
2023-07-05,1878.3017
2023-07-12,1878.7997
2023-07-19,1881.5416
2023-07-26,1882.9063
2023-08-02,1892.1621
2023-08-09,1894.7511
2023-08-16,1897.4089
2023-08-23,1899.7507
2023-08-30,1901.3382
2023-09-06,1902.8596
2023-09-13,1904.5065
2023-09-20,1906.8054
2023-09-27,1907.7069
2023-10-04,1910.0761
2023-10-11,1911.7946
2023-10-18,1912.6572
2023-10-25,1914.9345
2023-11-01,1916.9854
2023-11-08,1919.6038
2023-11-15,1922.3357
2023-11-22,1923.8591
2023-11-29,1926.2389
2023-12-06,1926.8494
2023-12-13,1928.874
