date,value
2018-01-03,3164.6343
2018-01-10,3159.0222
2018-01-17,3157.3278
2018-01-24,3172.598
2018-01-31,3166.0386
2018-02-07,3162.1422
2018-02-14,3165.1016
2018-02-21,3163.8376
2018-02-28,3174.8587
2018-03-07,3170.8778
2018-03-14,3180.2443
2018-03-21,3178.1054
2018-03-28,3185.2413
2018-04-04,3234.1767
2018-04-11,3231.1394
2018-04-18,3236.4127
2018-04-25,3234.5602
2018-05-02,3243.0059
2018-05-09,3245.0892
2018-05-16,3246.2507
2018-05-23,3260.502
2018-05-30,3257.2171
2018-06-06,3261.3607
2018-06-13,3263.1017
2018-06-20,3270.6413
2018-06-27,3273.2298
2018-07-04,3279.6398
2018-07-11,3276.2544
2018-07-18,3276.0421
2018-07-25,3286.4809
2018-08-01,3290.2214
2018-08-08,3289.6434
2018-08-15,3293.3133
2018-08-22,3294.2126
2018-08-29,3288.2069
2018-09-05,3289.9431
2018-09-12,3291.9106
2018-09-19,3304.4973
2018-09-26,3311.5893
2018-10-03,3315.9582
2018-10-10,3321.9016
2018-10-17,3315.1809
2018-10-24,3318.427
2018-10-31,3323.2134
2018-11-07,3312.6061
2018-11-14,3312.9971
2018-11-21,3312.3482
2018-11-28,3315.031
2018-12-05,3331.2029
2018-12-12,3335.8615
2018-12-19,3358.8992
2018-12-26,3363.9994
2019-01-02,3365.5915
2019-01-09,3357.5263
2019-01-16,3353.5854
2019-01-23,3361.4425
2019-01-30,3354.7419
2019-02-06,3366.3228
2019-02-13,3367.4843
2019-02-20,3375.3916
2019-02-27,3376.8373
2019-03-06,3380.9262
2019-03-13,3386.6494
2019-03-20,3397.021
2019-03-27,3403.651
2019-04-03,3411.5436
2019-04-10,3413.438
2019-04-17,3410.1508
2019-04-24,3412.2329
2019-05-01,3439.3581
2019-05-08,3442.5257
2019-05-15,3444.111
2019-05-22,3456.2836
2019-05-29,3446.3937
2019-06-05,3447.3218
2019-06-12,3455.4184
2019-06-19,3459.7471
2019-06-26,3470.4956
2019-07-03,3480.8489
2019-07-10,3476.821
2019-07-17,3483.7525
2019-07-24,3490.8019
2019-07-31,3498.1517
2019-08-07,3496.8492
2019-08-14,3496.8886
2019-08-21,3498.2489
2019-08-28,3502.0963
2019-09-04,3505.884
2019-09-11,3504.1605
2019-09-18,3526.039
2019-09-25,3532.1465
2019-10-02,3544.5872
2019-10-09,3547.1288
2019-10-16,3554.5564
2019-10-23,3557.3981
2019-10-30,3554.3129
2019-11-06,3555.0744
2019-11-13,3556.5312
2019-11-20,3578.2905
2019-11-27,3589.7766
2019-12-04,3595.1887
2019-12-11,3622.2513
2019-12-18,3626.2522
2019-12-25,3623.6529
2020-01-01,3626.9213
2020-01-08,3630.1702
2020-01-15,3632.6722
2020-01-22,3628.6074
2020-01-29,3629.5182
2020-02-05,3640.5797
2020-02-12,3647.7756
2020-02-19,3654.8678
2020-02-26,3664.527
2020-03-04,3675.4323
2020-03-11,3683.2213
2020-03-18,3716.2207
2020-03-25,3761.484
2020-04-01,3778.2817
2020-04-08,3785.082
2020-04-15,3888.0018
2020-04-22,3995.0338
2020-04-29,4048.5886
2020-05-06,4112.9752
2020-05-13,4128.2469
2020-05-20,4152.4691
2020-05-27,4164.8691
2020-06-03,4149.1184
2020-06-10,4159.3309
2020-06-17,4178.3962
2020-06-24,4201.9903
2020-07-01,4207.7035
2020-07-08,4220.2136
2020-07-15,4225.9495
2020-07-22,4211.4555
2020-07-29,4193.2779
2020-08-05,4205.9591
2020-08-12,4210.1246
2020-08-19,4217.7018
2020-08-26,4227.1079
2020-09-02,4222.0397
2020-09-09,4248.4684
2020-09-16,4265.6219
2020-09-23,4266.7422
2020-09-30,4275.6684
2020-10-07,4287.6919
2020-10-14,4305.402
2020-10-21,4301.7052
2020-10-28,4313.1888
2020-11-04,4327.3014
2020-11-11,4334.2592
2020-11-18,4333.2229
2020-11-25,4347.5876
2020-12-02,4352.4879
2020-12-09,4373.8753
2020-12-16,4390.0007
2020-12-23,4399.649
2020-12-30,4407.3629
2021-01-06,4433.8085
2021-01-13,4438.4042
2021-01-20,4437.5034
2021-01-27,4465.9308
2021-02-03,4495.3267
2021-02-10,4514.436
2021-02-17,4535.3356
2021-02-24,4538.2176
2021-03-03,4553.5271
2021-03-10,4561.0479
2021-03-17,4624.5711
2021-03-24,4628.7066
2021-03-31,4641.049
2021-04-07,4659.8158
2021-04-14,4679.2942
2021-04-21,4689.3264
2021-04-28,4716.9671
2021-05-05,4742.507
2021-05-12,4747.5793
2021-05-19,4749.959
2021-05-26,4741.7088
2021-06-02,4744.9305
2021-06-09,4759.0335
2021-06-16,4758.835
2021-06-23,4749.821
2021-06-30,4767.7926
2021-07-07,4767.2217
2021-07-14,4783.9998
2021-07-21,4787.5675
2021-07-28,4802.3379
2021-08-04,4806.7857
2021-08-11,4818.1526
2021-08-18,4826.5701
2021-08-25,4839.0687
2021-09-01,4848.5289
2021-09-08,4848.5833
2021-09-15,4864.9609
2021-09-22,4866.293
2021-09-29,4882.7927
2021-10-06,4887.9187
2021-10-13,4897.4346
2021-10-20,4904.7382
2021-10-27,4914.4723
2021-11-03,4931.7077
2021-11-10,4941.9677
2021-11-17,4967.6293
2021-11-24,4979.4926
2021-12-01,4998.0311
2021-12-08,5007.8877
2021-12-15,5023.491
2021-12-22,5036.9234
2021-12-29,5039.4027
2022-01-05,5019.4243
2022-01-12,5031.4072
2022-01-19,5038.3991
2022-01-26,5040.4813
2022-02-02,5041.1781
2022-02-09,5057.9781
2022-02-16,5056.6039
2022-02-23,5058.698
2022-03-02,5040.8287
2022-03-09,5043.0352
2022-03-16,5056.4639
2022-03-23,5049.3247
2022-03-30,5071.5162
2022-04-06,5077.7684
2022-04-13,5096.5306
2022-04-20,5095.7724
2022-04-27,5093.2438
2022-05-04,5107.4302
2022-05-11,5102.1201
2022-05-18,5112.2153
2022-05-25,5124.0739
2022-06-01,5114.9799
2022-06-08,5110.7912
2022-06-15,5116.2063
2022-06-22,5118.7344
2022-06-29,5112.0966
2022-07-06,5110.2809
2022-07-13,5119.6529
2022-07-20,5110.0722
2022-07-27,5113.104
2022-08-03,5106.3425
2022-08-10,5107.2581
2022-08-17,5106.5614
2022-08-24,5111.0855
2022-08-31,5107.8644
2022-09-07,5096.299
2022-09-14,5097.9725
2022-09-21,5091.733
2022-09-28,5089.5252
2022-10-05,5103.2308
2022-10-12,5095.3016
2022-10-19,5088.824
2022-10-26,5093.5594
2022-11-02,5071.8764
2022-11-09,5078.2013
2022-11-16,5074.335
2022-11-23,5068.9954
2022-11-30,5062.0231
2022-12-07,5127.7584
2022-12-14,5124.1213
2022-12-21,5116.3394
2022-12-28,5115.7121
2023-01-04,5117.7347
2023-01-11,5105.8704
2023-01-18,5116.2857
2023-01-25,5112.5248
2023-02-01,5121.791
2023-02-08,5125.6069
2023-02-15,5126.2258
2023-02-22,5122.1928
2023-03-01,5117.4689
2023-03-08,5097.3387
2023-03-15,4948.0361
2023-03-22,4913.7413
2023-03-29,4907.0297
2023-04-05,4917.9166
2023-04-12,4921.8223
2023-04-19,4938.4771
2023-04-26,4937.3704
2023-05-03,4950.5762
2023-05-10,4947.1092
2023-05-17,4947.7104
2023-05-24,4961.5937
2023-05-31,4965.6645
2023-06-07,4958.3901
2023-06-14,4966.735
2023-06-21,4974.0862
2023-06-28,4972.5038
2023-07-05,4984.2957
2023-07-12,4983.1556
2023-07-19,4990.5656
2023-07-26,5001.4931
2023-08-02,5030.446
2023-08-09,5035.0686
2023-08-16,5032.9679
2023-08-23,5032.3388
2023-08-30,5017.2462
2023-09-06,5024.8973
2023-09-13,5028.7557
2023-09-20,5034.1805
2023-09-27,5027.4466
2023-10-04,5046.2177
2023-10-11,5046.1945
2023-10-18,5036.9508
2023-10-25,5048.7097
2023-11-01,5045.0577
2023-11-08,5043.0987
2023-11-15,5040.7918
2023-11-22,5044.5484
2023-11-29,5038.2476
2023-12-06,5049.228
2023-12-13,5050.8465
2023-12-20,5063.9434
2023-12-27,5074.519
2024-01-03,5068.4683
2024-01-10,5060.6349
2024-01-17,5067.0586
2024-01-24,5075.8062
2024-01-31,5094.9094
2024-02-07,5093.5688
2024-02-14,5096.3027
2024-02-21,5086.7973
2024-02-28,5089.5652
2024-03-06,5084.9049
2024-03-13,5099.6428
2024-03-20,5108.2696
2024-03-27,5114.5828
2024-04-03,5113.5542
2024-04-10,5132.0323
2024-04-17,5123.4901
2024-04-24,5136.0531
2024-05-01,5147.9835
2024-05-08,5161.743
2024-05-15,5161.6502
2024-05-22,5160.0999
2024-05-29,5155.1787
2024-06-05,5162.1779
2024-06-12,5163.4007
2024-06-19,5165.2034
2024-06-26,5160.3325
2024-07-03,5155.3605
2024-07-10,5154.0536
2024-07-17,5158.0151
2024-07-24,5170.2404
2024-07-31,5175.2334
2024-08-07,5182.7755
2024-08-14,5179.8766
2024-08-21,5187.1594
2024-08-28,5194.2869
2024-09-04,5208.8002
2024-09-11,5204.8241
2024-09-18,5213.2938
2024-09-25,5213.9816
2024-10-02,5249.907
2024-10-09,5255.509
2024-10-16,5264.9225
2024-10-23,5258.9523
2024-10-30,5260.0544
2024-11-06,5264.8545
2024-11-13,5268.3339
2024-11-20,5259.572
2024-11-27,5276.1808
2024-12-04,5280.5672
2024-12-11,5279.2463
2024-12-18,5289.8864
2024-12-25,5275.8109
2025-01-01,5285.4513
2025-01-08,5294.0895
2025-01-15,5297.0311
2025-01-22,5305.6076
2025-01-29,5293.3791
2025-02-05,5304.6933
2025-02-12,5305.2289
2025-02-19,5313.4923
2025-02-26,5311.0643
2025-03-05,5303.0065
2025-03-12,5315.3777
2025-03-19,5331.4313
2025-03-26,5330.7872
2025-04-02,5343.988
2025-04-09,5349.003
2025-04-16,5352.3838
2025-04-23,5360.6599
2025-04-30,5372.3398
2025-05-07,5368.4829
2025-05-14,5375.4431
2025-05-21,5378.0404
2025-05-28,5380.1952
2025-06-04,5379.6352
2025-06-11,5379.2241
2025-06-18,5378.8192
2025-06-25,5390.5657
2025-07-02,5387.9914
2025-07-09,5395.2428
2025-07-16,5401.8908
2025-07-23,5406.7778
2025-07-30,5403.8949
2025-08-06,5409.1567
2025-08-13,5416.0353
2025-08-20,5422.5889
2025-08-27,5425.8716
2025-09-03,5436.5789
2025-09-10,5426.933
2025-09-17,5434.3325
2025-09-24,5440.6226
2025-10-01,5449.6054
2025-10-08,5457.2784
2025-10-15,5465.6527
2025-10-22,5463.5857
2025-10-29,5467.9402
