date,value
2021-08-23,62.23
2021-08-24,63.029999
2021-08-25,64.510002
2021-08-26,63.41
2021-08-27,57.98
2021-08-30,60.139999
2021-08-31,59.540001
2021-09-01,58.09
2021-09-02,55.799999
2021-09-03,53.259998
2021-09-07,57.049999
2021-09-08,57.02
2021-09-09,52.610001
2021-09-10,51.73
2021-09-13,53.099998
2021-09-14,51.73
2021-09-15,53.93
2021-09-16,53.700001
2021-09-17,56.060001
2021-09-20,59.580002
2021-09-21,59.200001
2021-09-22,55.919998
2021-09-23,56.790001
2021-09-24,58.459999
2021-09-27,60.5
2021-09-28,62.709999
2021-09-29,61.209999
2021-09-30,61.07
2021-10-01,57.380001
2021-10-04,60.610001
2021-10-05,62.830002
2021-10-06,60.650002
2021-10-07,60.91
2021-10-08,59.650002
2021-10-12,62.950001
2021-10-13,60.84
2021-10-14,59.349998
2021-10-15,62.700001
2021-10-18,70.769997
2021-10-19,68.25
2021-10-20,65.470001
2021-10-21,69.419998
2021-10-22,72.040001
2021-10-25,68.959999
2021-10-26,66.699997
2021-10-27,70.059998
2021-10-28,71.959999
2021-10-29,75.449997
2021-11-01,78.339996
2021-11-02,71.040001
2021-11-03,71.220001
2021-11-04,64.610001
2021-11-05,66.900002
2021-11-08,70.970001
2021-11-09,73.019997
2021-11-10,78.309998
2021-11-12,78.610001
2021-11-15,81.589996
2021-11-16,81.580002
2021-11-17,81.580002
2021-11-18,74.510002
2021-11-19,73.389999
2021-11-22,79.209999
2021-11-23,80.57
2021-11-24,83.150002
2021-11-26,89.449997
2021-11-29,89.410004
2021-11-30,84.040001
2021-12-01,82.970001
2021-12-02,82.550003
2021-12-03,79.139999
2021-12-06,87.889999
2021-12-07,88.139999
2021-12-08,80.290001
2021-12-09,79.540001
2021-12-10,74.360001
2021-12-13,76.410004
2021-12-14,78.980003
2021-12-15,74.059998
2021-12-16,69.099998
2021-12-17,72.459999
2021-12-20,77.019997
2021-12-21,79.519997
2021-12-22,76.849998
2021-12-23,77.290001
2021-12-27,80.120003
2021-12-28,77.519997
2021-12-29,78.0
2021-12-30,77.620003
2021-12-31,77.099998
2022-01-03,84.080002
2022-01-04,83.110001
2022-01-05,78.68
2022-01-06,77.730003
2022-01-07,74.690002
2022-01-10,78.120003
2022-01-11,77.849998
2022-01-12,74.550003
2022-01-13,72.57
2022-01-14,76.589996
2022-01-18,84.629997
2022-01-19,80.139999
2022-01-20,80.959999
2022-01-21,81.029999
2022-01-24,83.769997
2022-01-25,84.57
2022-01-26,85.75
2022-01-27,85.620003
2022-01-28,85.290001
2022-01-31,85.139999
2022-02-01,85.220001
2022-02-02,84.849998
2022-02-03,85.739998
2022-02-04,87.68
2022-02-07,87.440002
2022-02-08,82.720001
2022-02-09,81.760002
2022-02-10,88.519997
2022-02-11,94.029999
2022-02-14,102.279999
2022-02-15,94.0
2022-02-16,92.739998
2022-02-17,96.169998
2022-02-18,94.360001
2022-02-22,95.540001
2022-02-23,95.150002
2022-02-24,100.75
2022-02-25,93.339996
2022-02-28,100.400002
2022-03-01,118.260002
2022-03-02,110.279999
2022-03-03,115.18
2022-03-04,131.820007
2022-03-07,140.029999
2022-03-08,133.369995
2022-03-09,110.900002
2022-03-10,105.309998
2022-03-11,99.029999
2022-03-14,105.080002
2022-03-15,101.029999
2022-03-16,100.57
2022-03-17,91.760002
2022-03-18,91.769997
2022-03-21,101.940002
2022-03-22,105.379997
2022-03-23,105.720001
2022-03-24,113.139999
2022-03-25,125.269997
2022-03-28,129.279999
2022-03-29,117.919998
2022-03-30,112.980003
2022-03-31,106.879997
2022-04-01,108.339996
2022-04-04,108.370003
2022-04-05,116.370003
2022-04-06,123.919998
2022-04-07,122.669998
2022-04-08,124.860001
2022-04-11,129.869995
2022-04-12,117.790001
2022-04-13,116.330002
2022-04-14,119.660004
2022-04-18,122.32
2022-04-19,122.739998
2022-04-20,125.120003
2022-04-21,130.690002
2022-04-22,128.119995
2022-04-25,131.630005
2022-04-26,129.270004
2022-04-27,130.110001
2022-04-28,128.740005
2022-04-29,128.399994
2022-05-02,135.169998
2022-05-03,126.459999
2022-05-04,121.989998
2022-05-05,122.720001
2022-05-06,121.419998
2022-05-09,125.220001
2022-05-10,126.760002
2022-05-11,118.050003
2022-05-12,118.730003
2022-05-13,114.610001
2022-05-16,117.949997
2022-05-17,119.459999
2022-05-18,114.860001
2022-05-19,115.050003
2022-05-20,111.099998
2022-05-23,110.190002
2022-05-24,111.150002
2022-05-25,105.690002
2022-05-26,102.489998
2022-05-27,98.480003
2022-05-31,107.120003
2022-06-01,109.379997
2022-06-02,99.269997
2022-06-03,97.730003
2022-06-06,102.260002
2022-06-07,102.610001
2022-06-08,105.290001
2022-06-09,105.290001
2022-06-10,114.230003
2022-06-13,139.210007
2022-06-14,144.089996
2022-06-15,135.929993
2022-06-16,138.100006
2022-06-17,133.75
2022-06-21,138.910004
2022-06-22,129.940002
2022-06-23,125.980003
2022-06-24,127.0
2022-06-27,133.220001
2022-06-28,135.220001
2022-06-29,130.429993
2022-06-30,135.5
2022-07-01,144.169998
2022-07-05,156.160004
2022-07-06,151.139999
2022-07-07,149.710007
2022-07-08,145.25
2022-07-11,147.720001
2022-07-12,148.110001
2022-07-13,136.100006
2022-07-14,137.759995
2022-07-15,129.850006
2022-07-18,127.690002
2022-07-19,124.699997
2022-07-20,122.900002
2022-07-21,121.150002
2022-07-22,123.699997
2022-07-25,128.270004
2022-07-26,128.550003
2022-07-27,117.279999
2022-07-28,119.93
2022-07-29,116.360001
2022-08-01,120.5
2022-08-02,129.229996
2022-08-03,122.040001
2022-08-04,120.57
2022-08-05,122.580002
2022-08-08,124.120003
2022-08-09,125.120003
2022-08-10,115.260002
2022-08-11,111.110001
2022-08-12,106.279999
2022-08-15,113.82
2022-08-16,116.830002
2022-08-17,117.699997
2022-08-18,120.260002
2022-08-19,123.809998
2022-08-22,135.889999
2022-08-23,133.850006
2022-08-24,133.130005
2022-08-25,126.330002
2022-08-26,122.949997
2022-08-29,130.139999
2022-08-30,127.690002
2022-08-31,124.839996
2022-09-01,126.580002
2022-09-02,120.720001
2022-09-06,133.539993
2022-09-07,133.119995
2022-09-08,124.139999
2022-09-09,121.540001
2022-09-12,123.07
2022-09-13,128.869995
2022-09-14,125.349998
2022-09-15,124.07
2022-09-16,124.949997
2022-09-19,133.789993
2022-09-20,134.660004
2022-09-21,130.539993
2022-09-22,131.929993
2022-09-23,137.279999
2022-09-26,153.610001
2022-09-27,158.119995
2022-09-28,158.990005
2022-09-29,148.139999
2022-09-30,141.889999
2022-10-03,152.940002
2022-10-04,151.210007
2022-10-05,152.009995
2022-10-06,153.289993
2022-10-07,148.460007
2022-10-11,155.570007
2022-10-12,160.720001
2022-10-13,155.080002
2022-10-14,152.889999
2022-10-17,150.419998
2022-10-18,145.789993
2022-10-19,147.729996
2022-10-20,155.610001
2022-10-21,156.949997
2022-10-24,154.020004
2022-10-25,147.779999
2022-10-26,140.199997
2022-10-27,142.779999
