date,value
2013-04-03,43736.0
2013-04-10,25531.0
2013-04-17,36076.0
2013-04-24,39274.0
2013-05-01,27187.0
2013-05-08,47286.0
2013-05-15,34867.0
2013-05-22,42148.0
2013-05-29,51844.0
2013-06-05,126541.0
2013-06-12,163342.0
2013-06-19,132708.0
2013-06-26,53862.0
2013-07-03,62712.0
2013-07-10,74559.0
2013-07-17,88372.0
2013-07-24,39525.0
2013-07-31,27772.0
2013-08-07,60122.0
2013-08-14,46263.0
2013-08-21,42844.0
2013-08-28,44163.0
2013-09-04,46608.0
2013-09-11,46659.0
2013-09-18,51531.0
2013-09-25,55700.0
2013-10-02,62931.0
2013-10-09,51936.0
2013-10-16,46661.0
2013-10-23,36341.0
2013-10-30,46286.0
2013-11-06,39544.0
2013-11-13,32767.0
2013-11-20,44870.0
2013-11-27,46774.0
2013-12-04,35794.0
2013-12-11,45480.0
2013-12-18,60413.0
2013-12-25,52513.0
2014-01-01,52540.0
2014-01-08,38100.0
2014-01-15,50732.0
2014-01-22,39865.0
2014-01-29,63295.0
2014-02-05,49733.0
2014-02-12,37530.0
2014-02-19,48693.0
2014-02-26,42452.0
2014-03-05,43376.0
2014-03-12,37652.0
2014-03-19,59114.0
2014-03-26,93842.0
2014-04-02,60964.0
2014-04-09,53578.0
2014-04-16,62075.0
2014-04-23,50298.0
2014-04-30,50113.0
2014-05-07,42359.0
2014-05-14,43394.0
2014-05-21,43926.0
2014-05-28,48203.0
2014-06-04,65962.0
2014-06-11,190378.0
2014-06-18,197594.0
2014-06-25,156570.0
2014-07-02,99039.0
2014-07-09,51958.0
2014-07-16,50198.0
2014-07-23,46418.0
2014-07-30,152987.0
2014-08-06,128993.0
2014-08-13,52116.0
2014-08-20,52950.0
2014-08-27,49541.0
2014-09-03,122072.0
2014-09-10,57292.0
2014-09-17,76688.0
2014-09-24,143517.0
2014-10-01,102197.0
2014-10-08,52673.0
2014-10-15,113813.0
2014-10-22,72797.0
2014-10-29,51453.0
2014-11-05,49751.0
2014-11-12,52524.0
2014-11-19,67880.0
2014-11-26,50706.0
2014-12-03,45733.0
2014-12-10,115899.0
2014-12-17,89860.0
2014-12-24,62580.0
2014-12-31,68690.0
2015-01-07,77818.0
2015-01-14,69897.0
2015-01-21,63816.0
2015-01-28,65533.0
2015-02-04,70196.0
2015-02-11,66262.0
2015-02-18,50476.0
2015-02-25,112550.0
2015-03-04,139167.0
2015-03-11,55347.0
2015-03-18,70659.0
2015-03-25,62128.0
2015-04-01,57771.0
2015-04-08,62218.0
2015-04-15,57067.0
2015-04-22,46796.0
2015-04-29,70240.0
2015-05-06,81419.0
2015-05-13,103199.0
2015-05-20,91333.0
2015-05-27,68369.0
2015-06-03,70354.0
2015-06-10,75986.0
2015-06-17,69939.0
2015-06-24,62377.0
2015-07-01,62788.0
2015-07-08,63977.0
2015-07-15,58456.0
2015-07-22,62530.0
2015-07-29,54161.0
2015-08-05,65332.0
2015-08-12,65462.0
2015-08-19,75322.0
2015-08-26,80028.0
2015-09-02,79203.0
2015-09-09,56273.0
2015-09-16,60019.0
2015-09-23,71137.0
2015-09-30,79702.0
2015-10-07,81134.0
2015-10-14,81906.0
2015-10-21,89205.0
2015-10-28,89527.0
2015-11-04,84621.0
2015-11-11,114459.0
2015-11-18,103138.0
2015-11-25,97485.0
2015-12-02,77523.0
2015-12-09,124712.0
2015-12-16,192289.0
2015-12-23,139913.0
2015-12-30,199817.0
2016-01-06,128854.0
2016-01-13,80460.0
2016-01-20,82105.0
2016-01-27,93685.0
2016-02-03,86163.0
2016-02-10,88899.0
2016-02-17,90086.0
2016-02-24,70006.0
2016-03-02,128882.0
2016-03-09,456338.0
2016-03-16,452464.0
2016-03-23,81628.0
2016-03-30,97580.0
2016-04-06,97902.0
2016-04-13,131566.0
2016-04-20,73561.0
2016-04-27,72146.0
2016-05-04,84915.0
2016-05-11,95236.0
2016-05-18,84506.0
2016-05-25,96604.0
2016-06-01,106198.0
2016-06-08,100412.0
2016-06-15,83350.0
2016-06-22,97508.0
2016-06-29,98939.0
2016-07-06,130020.0
2016-07-13,118208.0
2016-07-20,145542.0
2016-07-27,172612.0
2016-08-03,114469.0
2016-08-10,95351.0
2016-08-17,93687.0
2016-08-24,77518.0
2016-08-31,122002.0
2016-09-07,197517.0
2016-09-14,345582.0
2016-09-21,105781.0
2016-09-28,148617.0
2016-10-05,129115.0
2016-10-12,154624.0
2016-10-19,265618.0
2016-10-26,128513.0
2016-11-02,110937.0
2016-11-09,100421.0
2016-11-16,146641.0
2016-11-23,250171.0
2016-11-30,164065.0
2016-12-07,178203.0
2016-12-14,420930.0
2016-12-21,123877.0
2016-12-28,170828.0
2017-01-04,131956.0
2017-01-11,87183.0
2017-01-18,91005.0
2017-01-25,90206.0
2017-02-01,82224.0
2017-02-08,82593.0
2017-02-15,79693.0
2017-02-22,83565.0
2017-03-01,106772.0
2017-03-08,116872.0
2017-03-15,128878.0
2017-03-22,109962.0
2017-03-29,104740.0
2017-04-05,102147.0
2017-04-12,109643.0
2017-04-19,90591.0
2017-04-26,82926.0
2017-05-03,112867.0
2017-05-10,107171.0
2017-05-17,96082.0
2017-05-24,92954.0
2017-05-31,148943.0
2017-06-07,105373.0
2017-06-14,101082.0
2017-06-21,110295.0
2017-06-28,131140.0
2017-07-05,133672.0
2017-07-12,118792.0
2017-07-19,123053.0
2017-07-26,126679.0
2017-08-02,133858.0
2017-08-09,104903.0
2017-08-16,116548.0
2017-08-23,107498.0
2017-08-30,118779.0
2017-09-06,215713.0
2017-09-13,156393.0
2017-09-20,176242.0
2017-09-27,130609.0
2017-10-04,108309.0
2017-10-11,128942.0
2017-10-18,123523.0
2017-10-25,145813.0
2017-11-01,119896.0
2017-11-08,103456.0
2017-11-15,121873.0
2017-11-22,198962.0
2017-11-29,296260.0
2017-12-06,264026.0
2017-12-13,423073.0
2017-12-20,184223.0
2017-12-27,107603.0
2018-01-03,109018.0
2018-01-10,143766.0
2018-01-17,246771.0
2018-01-24,101542.0
2018-01-31,115233.0
2018-02-07,122750.0
2018-02-14,243557.0
2018-02-21,144217.0
2018-02-28,104234.0
2018-03-07,113431.0
2018-03-14,153613.0
2018-03-21,105253.0
2018-03-28,113455.0
2018-04-04,94189.0
2018-04-11,83040.0
2018-04-18,69518.0
2018-04-25,66199.0
2018-05-02,82665.0
2018-05-09,78301.0
2018-05-16,83069.0
2018-05-23,70880.0
2018-05-30,81543.0
2018-06-06,83646.0
2018-06-13,70507.0
2018-06-20,90664.0
2018-06-27,73337.0
2018-07-04,78252.0
2018-07-11,68567.0
2018-07-18,63246.0
2018-07-25,68589.0
2018-08-01,76846.0
