date,value
2013-04-03,57759.0
2013-04-10,31587.0
2013-04-17,38793.0
2013-04-24,39491.0
2013-05-01,31028.0
2013-05-08,52784.0
2013-05-15,42891.0
2013-05-22,46427.0
2013-05-29,58073.0
2013-06-05,132321.0
2013-06-12,168946.0
2013-06-19,150240.0
2013-06-26,56500.0
2013-07-03,83853.0
2013-07-10,77164.0
2013-07-17,100687.0
2013-07-24,42748.0
2013-07-31,32003.0
2013-08-07,66301.0
2013-08-14,49522.0
2013-08-21,49147.0
2013-08-28,53932.0
2013-09-04,51006.0
2013-09-11,51139.0
2013-09-18,53358.0
2013-09-25,57522.0
2013-10-02,71269.0
2013-10-09,58254.0
2013-10-16,49996.0
2013-10-23,42941.0
2013-10-30,51609.0
2013-11-06,48788.0
2013-11-13,42100.0
2013-11-20,51515.0
2013-11-27,51697.0
2013-12-04,40561.0
2013-12-11,48119.0
2013-12-18,63454.0
2013-12-25,59078.0
2014-01-01,53233.0
2014-01-08,42613.0
2014-01-15,56291.0
2014-01-22,43657.0
2014-01-29,67126.0
2014-02-05,54438.0
2014-02-12,40521.0
2014-02-19,50542.0
2014-02-26,46800.0
2014-03-05,47523.0
2014-03-12,43558.0
2014-03-19,62425.0
2014-03-26,92055.0
2014-04-02,59080.0
2014-04-09,50655.0
2014-04-16,65499.0
2014-04-23,48436.0
2014-04-30,51809.0
2014-05-07,43894.0
2014-05-14,48676.0
2014-05-21,46899.0
2014-05-28,51636.0
2014-06-04,64128.0
2014-06-11,198079.0
2014-06-18,205310.0
2014-06-25,156514.0
2014-07-02,106087.0
2014-07-09,52764.0
2014-07-16,54348.0
2014-07-23,48920.0
2014-07-30,146616.0
2014-08-06,132221.0
2014-08-13,56160.0
2014-08-20,55405.0
2014-08-27,49602.0
2014-09-03,122666.0
2014-09-10,60498.0
2014-09-17,80816.0
2014-09-24,144104.0
2014-10-01,102775.0
2014-10-08,53934.0
2014-10-15,109201.0
2014-10-22,80991.0
2014-10-29,56447.0
2014-11-05,52047.0
2014-11-12,57599.0
2014-11-19,71084.0
2014-11-26,53133.0
2014-12-03,49705.0
2014-12-10,120924.0
2014-12-17,95731.0
2014-12-24,68954.0
2014-12-31,68392.0
2015-01-07,78886.0
2015-01-14,78305.0
2015-01-21,73126.0
2015-01-28,70009.0
2015-02-04,78957.0
2015-02-11,68926.0
2015-02-18,53989.0
2015-02-25,108295.0
2015-03-04,145794.0
2015-03-11,62001.0
2015-03-18,78054.0
2015-03-25,64715.0
2015-04-01,55143.0
2015-04-08,58993.0
2015-04-15,55167.0
2015-04-22,50780.0
2015-04-29,73051.0
2015-05-06,84992.0
2015-05-13,103587.0
2015-05-20,101884.0
2015-05-27,71346.0
2015-06-03,72692.0
2015-06-10,80398.0
2015-06-17,76906.0
2015-06-24,63601.0
2015-07-01,63738.0
2015-07-08,70251.0
2015-07-15,61986.0
2015-07-22,67718.0
2015-07-29,57288.0
2015-08-05,74006.0
2015-08-12,62836.0
2015-08-19,78909.0
2015-08-26,85625.0
2015-09-02,81167.0
2015-09-09,64280.0
2015-09-16,61388.0
2015-09-23,75127.0
2015-09-30,82396.0
2015-10-07,87258.0
