date,value
2013-04-03,108014.0
2013-04-10,137924.0
2013-04-17,111319.0
2013-04-24,126947.0
2013-05-01,109376.0
2013-05-08,116301.0
2013-05-15,94511.0
2013-05-22,70064.0
2013-05-29,95316.0
2013-06-05,92461.0
2013-06-12,92289.0
2013-06-19,68033.0
2013-06-26,83635.0
2013-07-03,86925.0
2013-07-10,77440.0
2013-07-17,63001.0
2013-07-24,104269.0
2013-07-31,96962.0
2013-08-07,113542.0
2013-08-14,106315.0
2013-08-21,81998.0
2013-08-28,100733.0
2013-09-04,116371.0
2013-09-11,126831.0
2013-09-18,110669.0
2013-09-25,93201.0
2013-10-02,80808.0
2013-10-09,122057.0
2013-10-16,145999.0
2013-10-23,108318.0
2013-10-30,102520.0
2013-11-06,103364.0
2013-11-13,110629.0
2013-11-20,101271.0
2013-11-27,99696.0
2013-12-04,75355.0
2013-12-11,77592.0
2013-12-18,77913.0
2013-12-25,72466.0
2014-01-01,44191.0
2014-01-08,60495.0
2014-01-15,47267.0
2014-01-22,51397.0
2014-01-29,39039.0
2014-02-05,41442.0
2014-02-12,47866.0
2014-02-19,49130.0
2014-02-26,60147.0
2014-03-05,65276.0
2014-03-12,69571.0
2014-03-19,50061.0
2014-03-26,43167.0
2014-04-02,44526.0
2014-04-09,58046.0
2014-04-16,35245.0
2014-04-23,31635.0
2014-04-30,41032.0
2014-05-07,22355.0
2014-05-14,28053.0
2014-05-21,24225.0
2014-05-28,50417.0
2014-06-04,56175.0
2014-06-11,62782.0
2014-06-18,33298.0
2014-06-25,53867.0
2014-07-02,19298.0
2014-07-09,27712.0
2014-07-16,18346.0
2014-07-23,36291.0
2014-07-30,21631.0
2014-08-06,30502.0
2014-08-13,38813.0
2014-08-20,42886.0
2014-08-27,52563.0
2014-09-03,38163.0
2014-09-10,48860.0
2014-09-17,36316.0
2014-09-24,27787.0
2014-10-01,16893.0
2014-10-08,35915.0
2014-10-15,63814.0
2014-10-22,50190.0
2014-10-29,46312.0
2014-11-05,48330.0
2014-11-12,68519.0
2014-11-19,47417.0
2014-11-26,52991.0
2014-12-03,37722.0
2014-12-10,51806.0
2014-12-17,44092.0
2014-12-24,35605.0
2014-12-31,7823.0
2015-01-07,14562.0
2015-01-14,29508.0
2015-01-21,24527.0
2015-01-28,19513.0
2015-02-04,21561.0
2015-02-11,33371.0
2015-02-18,37259.0
2015-02-25,32341.0
2015-03-04,22071.0
2015-03-11,44230.0
2015-03-18,28994.0
2015-03-25,29629.0
2015-04-01,14730.0
2015-04-08,31261.0
2015-04-15,27613.0
2015-04-22,19396.0
2015-04-29,23338.0
2015-05-06,24856.0
2015-05-13,33214.0
2015-05-20,22857.0
2015-05-27,30281.0
2015-06-03,29518.0
2015-06-10,32170.0
2015-06-17,14907.0
2015-06-24,30049.0
2015-07-01,9264.0
2015-07-08,21917.0
2015-07-15,22741.0
2015-07-22,42036.0
2015-07-29,69251.0
2015-08-05,45341.0
2015-08-12,62374.0
2015-08-19,57111.0
2015-08-26,78694.0
2015-09-02,65999.0
2015-09-09,91823.0
2015-09-16,67119.0
2015-09-23,86167.0
2015-09-30,50804.0
2015-10-07,68107.0
2015-10-14,66537.0
2015-10-21,56057.0
2015-10-28,65103.0
2015-11-04,53838.0
2015-11-11,65812.0
2015-11-18,44415.0
2015-11-25,71834.0
2015-12-02,53693.0
2015-12-09,59914.0
2015-12-16,57164.0
2015-12-23,52531.0
2015-12-30,47423.0
2016-01-06,74511.0
2016-01-13,85061.0
2016-01-20,90489.0
2016-01-27,106407.0
2016-02-03,107154.0
2016-02-10,113510.0
2016-02-17,119837.0
2016-02-24,110461.0
2016-03-02,93930.0
2016-03-09,110261.0
2016-03-16,92478.0
2016-03-23,75885.0
2016-03-30,71392.0
2016-04-06,78773.0
2016-04-13,90011.0
2016-04-20,82997.0
2016-04-27,78280.0
2016-05-04,78383.0
2016-05-11,94240.0
2016-05-18,71959.0
2016-05-25,82372.0
2016-06-01,72962.0
2016-06-08,81018.0
2016-06-15,88634.0
2016-06-22,100090.0
2016-06-29,92666.0
2016-07-06,99988.0
2016-07-13,99826.0
2016-07-20,86900.0
2016-07-27,92600.0
2016-08-03,89355.0
2016-08-10,105946.0
2016-08-17,83071.0
2016-08-24,96171.0
2016-08-31,94123.0
2016-09-07,101919.0
2016-09-14,99710.0
2016-09-21,78307.0
2016-09-28,102700.0
2016-10-05,109483.0
2016-10-12,111386.0
2016-10-19,99875.0
2016-10-26,92965.0
2016-11-02,108238.0
2016-11-09,116588.0
2016-11-16,93015.0
2016-11-23,93804.0
2016-11-30,81803.0
2016-12-07,103823.0
2016-12-14,95860.0
2016-12-21,78983.0
2016-12-28,76521.0
2017-01-04,76836.0
2017-01-11,97973.0
2017-01-18,87673.0
2017-01-25,106209.0
2017-02-01,85692.0
2017-02-08,97452.0
2017-02-15,91314.0
2017-02-22,89520.0
2017-03-01,107326.0
2017-03-08,80128.0
2017-03-15,68333.0
2017-03-22,84069.0
2017-03-29,86681.0
2017-04-05,89390.0
2017-04-12,101560.0
2017-04-19,95145.0
2017-04-26,108164.0
2017-05-03,105158.0
2017-05-10,101061.0
2017-05-17,103128.0
2017-05-24,120634.0
2017-05-31,106075.0
2017-06-07,107257.0
2017-06-14,109889.0
2017-06-21,102073.0
2017-06-28,114961.0
2017-07-05,107572.0
2017-07-12,101985.0
2017-07-19,118630.0
2017-07-26,108197.0
2017-08-02,93019.0
2017-08-09,100100.0
2017-08-16,96121.0
2017-08-23,103446.0
2017-08-30,107489.0
2017-09-06,96774.0
2017-09-13,101392.0
2017-09-20,84306.0
2017-09-27,102843.0
2017-10-04,97003.0
2017-10-11,114672.0
2017-10-18,97931.0
2017-10-25,99640.0
2017-11-01,97483.0
2017-11-08,117460.0
2017-11-15,96846.0
2017-11-22,103556.0
2017-11-29,105857.0
2017-12-06,85040.0
2017-12-13,109935.0
2017-12-20,84853.0
2017-12-27,105202.0
2018-01-03,82374.0
2018-01-10,85977.0
2018-01-17,82000.0
2018-01-24,92239.0
2018-01-31,71556.0
2018-02-07,101330.0
2018-02-14,76026.0
2018-02-21,69697.0
2018-02-28,61134.0
2018-03-07,78413.0
2018-03-14,89042.0
2018-03-21,64822.0
2018-03-28,80393.0
2018-04-04,84045.0
2018-04-11,115515.0
2018-04-18,106975.0
2018-04-25,101634.0
2018-05-02,105178.0
2018-05-09,132166.0
2018-05-16,130249.0
2018-05-23,141944.0
2018-05-30,147802.0
2018-06-06,131237.0
2018-06-13,150037.0
2018-06-20,138252.0
2018-06-27,147980.0
2018-07-04,133138.0
2018-07-11,145228.0
