date,value
2013-04-03,1535302.0
2013-04-10,1577704.0
2013-04-17,1574010.0
2013-04-24,1532935.0
2013-05-01,1581953.0
2013-05-08,1570365.0
2013-05-15,1615840.0
2013-05-22,1558689.0
2013-05-29,1554688.0
2013-06-05,1591721.0
2013-06-12,1586034.0
2013-06-19,1543306.0
2013-06-26,1568565.0
2013-07-03,1487587.0
2013-07-10,1463983.0
2013-07-17,1435508.0
2013-07-24,1420106.0
2013-07-31,1461273.0
2013-08-07,1455131.0
2013-08-14,1476045.0
2013-08-21,1464223.0
2013-08-28,1509458.0
2013-09-04,1501678.0
2013-09-11,1513899.0
2013-09-18,1480557.0
2013-09-25,1482117.0
2013-10-02,1440708.0
2013-10-09,1459825.0
2013-10-16,1468128.0
2013-10-23,1498019.0
2013-10-30,1529874.0
2013-11-06,1531811.0
2013-11-13,1527573.0
2013-11-20,1483938.0
2013-11-27,1513492.0
2013-12-04,1506815.0
2013-12-11,1511539.0
2013-12-18,1427259.0
2013-12-25,1424706.0
2014-01-01,1274427.0
2014-01-08,1344907.0
2014-01-15,1358297.0
2014-01-22,1391647.0
2014-01-29,1415735.0
2014-02-05,1404723.0
2014-02-12,1427383.0
2014-02-19,1374455.0
2014-02-26,1446572.0
2014-03-05,1427112.0
2014-03-12,1449483.0
2014-03-19,1418100.0
2014-03-26,1430220.0
2014-04-02,1340518.0
2014-04-09,1368146.0
2014-04-16,1383502.0
2014-04-23,1373085.0
2014-04-30,1353518.0
2014-05-07,1356234.0
2014-05-14,1378547.0
2014-05-21,1432465.0
2014-05-28,1423605.0
2014-06-04,1432426.0
2014-06-11,1461206.0
2014-06-18,1461817.0
2014-06-25,1432394.0
2014-07-02,1348632.0
2014-07-09,1364659.0
2014-07-16,1358659.0
2014-07-23,1421750.0
2014-07-30,1417849.0
2014-08-06,1430080.0
2014-08-13,1429127.0
2014-08-20,1417793.0
2014-08-27,1458144.0
2014-09-03,1452423.0
2014-09-10,1461006.0
2014-09-17,1441197.0
2014-09-24,1462758.0
2014-10-01,1389386.0
2014-10-08,1422318.0
2014-10-15,1424398.0
2014-10-22,1425304.0
2014-10-29,1395222.0
2014-11-05,1392735.0
2014-11-12,1402370.0
2014-11-19,1393031.0
2014-11-26,1397227.0
2014-12-03,1417138.0
2014-12-10,1417161.0
2014-12-17,1413431.0
2014-12-24,1341667.0
2014-12-31,1187002.0
2015-01-07,1280258.0
2015-01-14,1314724.0
2015-01-21,1275085.0
2015-01-28,1316114.0
2015-02-04,1317202.0
2015-02-11,1348862.0
2015-02-18,1331551.0
2015-02-25,1379595.0
2015-03-04,1330220.0
2015-03-11,1374499.0
2015-03-18,1339878.0
2015-03-25,1354936.0
2015-04-01,1295647.0
2015-04-08,1320021.0
2015-04-15,1289391.0
2015-04-22,1288994.0
2015-04-29,1291290.0
2015-05-06,1349329.0
2015-05-13,1360674.0
2015-05-20,1331118.0
2015-05-27,1335291.0
2015-06-03,1362933.0
2015-06-10,1346322.0
2015-06-17,1297148.0
2015-06-24,1268038.0
2015-07-01,1256227.0
2015-07-08,1235186.0
2015-07-15,1216855.0
2015-07-22,1239712.0
2015-07-29,1262121.0
2015-08-05,1285081.0
2015-08-12,1262786.0
2015-08-19,1269310.0
2015-08-26,1319241.0
2015-09-02,1346494.0
2015-09-09,1326470.0
2015-09-16,1328569.0
2015-09-23,1335951.0
2015-09-30,1266349.0
2015-10-07,1301861.0
2015-10-14,1312999.0
2015-10-21,1370852.0
2015-10-28,1357829.0
2015-11-04,1384198.0
2015-11-11,1400844.0
2015-11-18,1389026.0
2015-11-25,1338575.0
2015-12-02,1343146.0
2015-12-09,1390294.0
2015-12-16,1352628.0
2015-12-23,1363456.0
2015-12-30,1310236.0
2016-01-06,1316064.0
2016-01-13,1357704.0
2016-01-20,1343728.0
2016-01-27,1374157.0
2016-02-03,1397784.0
2016-02-10,1419447.0
2016-02-17,1400307.0
2016-02-24,1411113.0
2016-03-02,1424432.0
2016-03-09,1431975.0
2016-03-16,1391530.0
2016-03-23,1420419.0
2016-03-30,1382894.0
2016-04-06,1412086.0
2016-04-13,1440021.0
2016-04-20,1402519.0
2016-04-27,1394594.0
2016-05-04,1369966.0
2016-05-11,1394445.0
2016-05-18,1422916.0
2016-05-25,1434510.0
2016-06-01,1468920.0
2016-06-08,1497411.0
2016-06-15,1451608.0
2016-06-22,1428623.0
2016-06-29,1463255.0
2016-07-06,1404287.0
2016-07-13,1448682.0
2016-07-20,1396508.0
2016-07-27,1429849.0
2016-08-03,1434462.0
2016-08-10,1421581.0
2016-08-17,1436330.0
2016-08-24,1461681.0
2016-08-31,1455850.0
2016-09-07,1495189.0
2016-09-14,1549638.0
2016-09-21,1527210.0
2016-09-28,1472355.0
2016-10-05,1489720.0
2016-10-12,1490700.0
2016-10-19,1494930.0
2016-10-26,1480322.0
2016-11-02,1488560.0
2016-11-09,1464754.0
2016-11-16,1528442.0
2016-11-23,1490431.0
2016-11-30,1431379.0
2016-12-07,1484832.0
2016-12-14,1519248.0
2016-12-21,1457794.0
2016-12-28,1395580.0
2017-01-04,1347185.0
2017-01-11,1388691.0
2017-01-18,1395740.0
2017-01-25,1380619.0
2017-02-01,1368314.0
2017-02-08,1386332.0
2017-02-15,1416167.0
2017-02-22,1409522.0
2017-03-01,1426616.0
2017-03-08,1456132.0
2017-03-15,1433481.0
2017-03-22,1456183.0
2017-03-29,1418639.0
2017-04-05,1406642.0
2017-04-12,1415410.0
2017-04-19,1445710.0
2017-04-26,1423103.0
2017-05-03,1448219.0
2017-05-10,1434700.0
2017-05-17,1460589.0
2017-05-24,1479149.0
2017-05-31,1432126.0
2017-06-07,1536861.0
2017-06-14,1505125.0
2017-06-21,1505000.0
2017-06-28,1479257.0
2017-07-05,1426789.0
2017-07-12,1431518.0
2017-07-19,1431759.0
2017-07-26,1436969.0
2017-08-02,1405462.0
2017-08-09,1438741.0
2017-08-16,1455157.0
2017-08-23,1462669.0
2017-08-30,1478093.0
2017-09-06,1501494.0
2017-09-13,1519939.0
2017-09-20,1499707.0
2017-09-27,1497531.0
2017-10-04,1462560.0
2017-10-11,1507535.0
2017-10-18,1500155.0
2017-10-25,1498713.0
2017-11-01,1549843.0
2017-11-08,1569954.0
2017-11-15,1536928.0
2017-11-22,1564898.0
2017-11-29,1566337.0
2017-12-06,1485544.0
2017-12-13,1505083.0
2017-12-20,1487723.0
2017-12-27,1470773.0
2018-01-03,1419714.0
2018-01-10,1456876.0
2018-01-17,1418157.0
2018-01-24,1428386.0
2018-01-31,1469311.0
2018-02-07,1485633.0
2018-02-14,1486270.0
2018-02-21,1495780.0
2018-02-28,1484906.0
2018-03-07,1524923.0
2018-03-14,1520860.0
2018-03-21,1492444.0
2018-03-28,1425852.0
2018-04-04,1429267.0
2018-04-11,1381471.0
2018-04-18,1357860.0
2018-04-25,1360619.0
2018-05-02,1394331.0
2018-05-09,1426361.0
2018-05-16,1410254.0
2018-05-23,1402026.0
2018-05-30,1387178.0
2018-06-06,1439113.0
2018-06-13,1429164.0
2018-06-20,1423594.0
2018-06-27,1392236.0
2018-07-04,1329265.0
2018-07-11,1306321.0
2018-07-18,1336105.0
2018-07-25,1341049.0
2018-08-01,1359288.0
2018-08-08,1338198.0
2018-08-15,1354603.0
2018-08-22,1378171.0
2018-08-29,1366099.0
2018-09-05,1383154.0
2018-09-12,1417695.0
2018-09-19,1376580.0
2018-09-26,1354444.0
2018-10-03,1363953.0
2018-10-10,1380906.0
2018-10-17,1373794.0
2018-10-24,1407773.0
2018-10-31,1437600.0
2018-11-07,1462076.0
2018-11-14,1441407.0
2018-11-21,1542652.0
2018-11-28,1554384.0
2018-12-05,1640346.0
2018-12-12,1649204.0
2018-12-19,1673913.0
2018-12-26,1658459.0
2019-01-02,1608086.0
2019-01-09,1630669.0
2019-01-16,1636097.0
2019-01-23,1642793.0
2019-01-30,1621571.0
2019-02-06,1576564.0
2019-02-13,1608992.0
2019-02-20,1635140.0
2019-02-27,1671850.0
2019-03-06,1680095.0
2019-03-13,1674048.0
2019-03-20,1673008.0
2019-03-27,1654602.0
2019-04-03,1657756.0
2019-04-10,1688925.0
2019-04-17,1659738.0
2019-04-24,1682308.0
2019-05-01,1709494.0
2019-05-08,1724397.0
2019-05-15,1698252.0
2019-05-22,1733622.0
2019-05-29,1778374.0
2019-06-05,1786813.0
2019-06-12,1785456.0
2019-06-19,1773508.0
2019-06-26,1759202.0
2019-07-03,1749798.0
2019-07-10,1730706.0
2019-07-17,1724357.0
2019-07-24,1774922.0
2019-07-31,1750934.0
2019-08-07,1787548.0
2019-08-14,1807628.0
2019-08-21,1776011.0
2019-08-28,1807640.0
2019-09-04,1810859.0
2019-09-11,1788073.0
2019-09-18,1767548.0
2019-09-25,1736014.0
2019-10-02,1762701.0
2019-10-09,1768762.0
2019-10-16,1814027.0
2019-10-23,1766259.0
2019-10-30,1734058.0
2019-11-06,1790999.0
2019-11-13,1769086.0
2019-11-20,1796797.0
2019-11-27,1766474.0
2019-12-04,1792513.0
2019-12-11,1796023.0
2019-12-18,1808345.0
2019-12-25,1782127.0
2020-01-01,1604722.0
2020-01-08,1641687.0
2020-01-15,1654676.0
2020-01-22,1646558.0
2020-01-29,1671183.0
2020-02-05,1700750.0
2020-02-12,1695649.0
2020-02-19,1716634.0
2020-02-26,1733552.0
2020-03-04,1946741.0
2020-03-11,2039916.0
2020-03-18,2070026.0
2020-03-25,2000445.0
2020-04-01,1853506.0
2020-04-08,1786924.0
2020-04-15,1775697.0
2020-04-22,1747205.0
2020-04-29,1752425.0
2020-05-06,1725041.0
2020-05-13,1745859.0
