date,value
2026-07-13,0.0
2026-07-14,0.1
2026-07-15,0.1
2026-07-16,0.0
2026-07-17,0.0
2026-07-20,0.0
2026-07-21,0.0
2026-07-22,0.0
2026-07-23,0.007
2026-07-24,0.001
2026-07-27,0.02
2026-07-28,0.005
2026-07-29,0.003
2026-07-30,0.005
2026-07-31,0.0
2026-08-03,0.0
2026-08-04,0.001
2026-08-05,0.001
2026-08-06,0.0
2026-08-07,0.0
2026-08-10,0.0
2026-08-11,0.1
2026-08-12,0.0
2026-08-13,0.002
2026-08-14,0.0
2026-08-17,0.001
2026-08-18,0.001
2026-08-19,0.001
2026-08-20,0.0
2026-08-21,0.0
2026-08-24,0.0
2026-08-25,0.003
2026-08-26,0.003
2026-08-27,0.1
