date,value
2013-04-03,1310767.0
2013-04-10,1336005.0
2013-04-17,1323567.0
2013-04-24,1296079.0
2013-05-01,1335666.0
2013-05-08,1318242.0
2013-05-15,1358253.0
2013-05-22,1336557.0
2013-05-29,1310391.0
2013-06-05,1336121.0
2013-06-12,1335695.0
2013-06-19,1314751.0
2013-06-26,1334498.0
2013-07-03,1245937.0
2013-07-10,1234373.0
2013-07-17,1200438.0
2013-07-24,1196164.0
2013-07-31,1234615.0
2013-08-07,1210520.0
2013-08-14,1233541.0
2013-08-21,1240049.0
2013-08-28,1291755.0
2013-09-04,1269870.0
2013-09-11,1278376.0
2013-09-18,1274654.0
2013-09-25,1280138.0
2013-10-02,1241541.0
2013-10-09,1238396.0
2013-10-16,1228174.0
2013-10-23,1277850.0
2013-10-30,1285315.0
2013-11-06,1312799.0
2013-11-13,1288224.0
2013-11-20,1238341.0
2013-11-27,1273726.0
2013-12-04,1282491.0
2013-12-11,1300189.0
2013-12-18,1229327.0
2013-12-25,1249791.0
2014-01-01,1113151.0
2014-01-08,1158908.0
2014-01-15,1162147.0
2014-01-22,1190708.0
2014-01-29,1230022.0
2014-02-05,1230965.0
2014-02-12,1228336.0
2014-02-19,1203442.0
2014-02-26,1285678.0
2014-03-05,1249566.0
2014-03-12,1267784.0
2014-03-19,1226800.0
2014-03-26,1270775.0
2014-04-02,1181979.0
2014-04-09,1187169.0
2014-04-16,1215801.0
2014-04-23,1218660.0
2014-04-30,1190403.0
2014-05-07,1194221.0
2014-05-14,1179720.0
2014-05-21,1269336.0
2014-05-28,1261759.0
2014-06-04,1242156.0
2014-06-11,1257148.0
2014-06-18,1254527.0
2014-06-25,1222897.0
2014-07-02,1148433.0
2014-07-09,1188980.0
2014-07-16,1171826.0
2014-07-23,1225916.0
2014-07-30,1244348.0
2014-08-06,1246720.0
2014-08-13,1247215.0
2014-08-20,1233249.0
2014-08-27,1283738.0
2014-09-03,1282040.0
2014-09-10,1278441.0
2014-09-17,1270331.0
2014-09-24,1288949.0
2014-10-01,1237784.0
2014-10-08,1264974.0
2014-10-15,1234904.0
2014-10-22,1242028.0
2014-10-29,1238101.0
2014-11-05,1239545.0
2014-11-12,1202167.0
2014-11-19,1224780.0
2014-11-26,1210622.0
2014-12-03,1250095.0
2014-12-10,1246354.0
2014-12-17,1230077.0
2014-12-24,1188976.0
2014-12-31,1065789.0
2015-01-07,1140152.0
2015-01-14,1167932.0
2015-01-21,1115532.0
2015-01-28,1148046.0
2015-02-04,1178764.0
2015-02-11,1181060.0
2015-02-18,1166202.0
2015-02-25,1216530.0
2015-03-04,1170653.0
2015-03-11,1211473.0
2015-03-18,1172398.0
2015-03-25,1200121.0
2015-04-01,1170542.0
2015-04-08,1172972.0
2015-04-15,1143076.0
2015-04-22,1139998.0
2015-04-29,1149305.0
2015-05-06,1190980.0
2015-05-13,1191284.0
2015-05-20,1177311.0
2015-05-27,1194934.0
2015-06-03,1204056.0
2015-06-10,1211609.0
2015-06-17,1184284.0
2015-06-24,1178208.0
2015-07-01,1157540.0
2015-07-08,1143327.0
2015-07-15,1133443.0
2015-07-22,1137526.0
2015-07-29,1147555.0
2015-08-05,1171675.0
2015-08-12,1157011.0
2015-08-19,1176957.0
2015-08-26,1192517.0
2015-09-02,1234151.0
2015-09-09,1220790.0
2015-09-16,1210282.0
2015-09-23,1214768.0
2015-09-30,1178590.0
2015-10-07,1198750.0
2015-10-14,1221119.0
2015-10-21,1274376.0
2015-10-28,1255133.0
2015-11-04,1261376.0
2015-11-11,1293642.0
2015-11-18,1277672.0
2015-11-25,1243679.0
2015-12-02,1236969.0
