date,CPIAUCSL,CPIENGSL,LEU0252881500Q,LES1252881600Q,UNRATE,UEMPMED,JTSHIR,JTSQUR,JTSLDR
2022-01-31,282.543,270.189,1037.0,363.0,4.0,9.9,4.3,2.9,0.9
2022-02-28,284.5,275.322,1037.0,363.0,3.9,10.0,4.5,2.8,0.9
2022-03-31,287.674,303.099,1037.0,363.0,3.7,8.8,4.4,2.9,0.9
2022-04-30,288.561,295.455,1041.0,359.0,3.7,8.5,4.3,3.0,0.9
2022-05-31,291.298,309.052,1041.0,359.0,3.6,9.1,4.2,2.8,1.0
2022-06-30,294.957,330.456,1041.0,359.0,3.6,8.0,4.3,2.7,1.0
2022-07-31,294.913,314.345,1070.0,362.0,3.5,8.3,4.2,2.6,1.0
2022-08-31,295.097,298.331,1070.0,362.0,3.6,8.6,4.2,2.8,1.0
2022-09-30,296.349,294.103,1070.0,362.0,3.5,8.1,4.0,2.7,0.9
2022-10-31,298.007,299.945,1085.0,362.0,3.6,8.1,4.0,2.6,1.0
2022-11-30,298.786,298.107,1085.0,362.0,3.6,8.4,4.0,2.6,1.0
2022-12-31,298.832,286.33,1085.0,362.0,3.5,8.1,4.0,2.7,1.0
2023-01-31,300.42,292.615,1100.0,364.0,3.5,9.6,4.1,2.5,1.1
2023-02-28,301.45,288.702,1100.0,364.0,3.6,8.9,3.9,2.5,1.0
2023-03-31,301.821,282.868,1100.0,364.0,3.5,8.4,3.8,2.4,1.2
2023-04-30,302.845,280.86,1100.0,365.0,3.4,8.7,3.8,2.3,1.1
2023-05-31,303.334,274.273,1100.0,365.0,3.6,9.1,3.9,2.6,1.0
2023-06-30,304.014,275.712,1100.0,365.0,3.6,8.7,3.8,2.4,1.1
2023-07-31,304.609,275.548,1118.0,366.0,3.5,8.9,3.6,2.3,1.1
2023-08-31,306.082,287.31,1118.0,366.0,3.7,8.9,3.7,2.3,1.1
2023-09-30,307.276,292.623,1118.0,366.0,3.7,9.1,3.7,2.3,1.0
2023-10-31,307.696,286.765,1145.0,369.0,3.9,8.6,3.7,2.3,1.0
2023-11-30,308.148,282.146,1145.0,369.0,3.7,8.9,3.5,2.3,1.0
2023-12-31,308.741,280.763,1145.0,369.0,3.8,9.4,3.6,2.2,1.1
2024-01-31,309.698,279.953,1139.0,365.0,3.7,9.4,3.6,2.1,1.0
2024-02-29,310.967,283.331,1139.0,365.0,3.9,9.2,3.6,2.2,1.1
2024-03-31,312.345,288.688,1139.0,365.0,3.9,9.5,3.5,2.1,1.0
2024-04-30,313.023,287.611,1143.0,368.0,3.9,8.8,3.5,2.2,1.0
2024-05-31,313.175,284.165,1143.0,368.0,3.9,9.1,3.5,2.1,1.1
2024-06-30,313.044,278.284,1143.0,368.0,4.1,9.8,3.3,2.1,0.9
2024-07-31,313.569,278.287,1165.0,371.0,4.2,9.5,3.4,2.1,1.1
2024-08-31,314.062,275.706,1165.0,371.0,4.2,9.6,3.3,2.1,1.1
2024-09-30,314.732,272.681,1165.0,371.0,4.1,10.0,3.4,2.0,1.1
2024-10-31,315.631,273.003,1192.0,374.0,4.1,10.2,3.3,2.0,1.0
2024-11-30,316.528,273.281,1192.0,374.0,4.2,10.7,3.3,1.9,1.2
2024-12-31,317.604,279.829,1192.0,374.0,4.1,10.2,3.3,1.9,1.1
2025-01-31,318.961,282.272,1194.0,373.0,4.0,10.1,3.3,2.0,1.1
2025-02-28,319.679,282.096,1194.0,373.0,4.2,9.9,3.3,2.0,1.2
2025-03-31,319.785,278.906,1194.0,373.0,4.2,9.7,3.4,2.2,1.0
2025-04-30,320.302,277.343,1196.0,376.0,4.2,10.2,3.4,2.0,1.1
2025-05-31,320.62,275.377,1196.0,376.0,4.3,9.5,3.4,2.1,1.1
2025-06-30,321.435,276.558,1196.0,376.0,4.1,10.1,3.4,2.1,1.2
2025-07-31,322.169,274.85,1214.0,376.0,4.3,10.2,3.3,2.0,1.1
2025-08-31,323.291,276.734,1214.0,376.0,4.3,9.9,3.2,2.0,1.2
2025-09-30,324.245,280.7,1214.0,376.0,4.4,10.1,3.3,1.9,1.1
2025-10-31,,,1214.0,376.0,,,3.3,1.9,1.2
2025-11-30,325.063,284.648,1214.0,376.0,4.5,9.8,3.2,2.0,1.0
2025-12-31,326.031,285.624,1214.0,376.0,4.4,11.4,3.3,2.0,1.1
2026-01-31,326.588,281.436,1235.0,376.0,4.3,11.0,3.4,2.0,1.0
2026-02-28,327.46,283.223,1235.0,376.0,4.4,11.1,3.1,1.9,1.1
2026-03-31,330.293,314.019,1235.0,376.0,4.3,11.5,3.5,2.0,1.2
2026-04-30,332.407,325.978,1235.0,376.0,4.3,11.0,3.3,1.9,1.0
2026-05-31,333.979,338.639,1235.0,376.0,4.3,11.6,3.3,1.9,1.1
